tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
P1,TPDNAP42,21307,Barcode1,Barcode5,21307,408,0,0,0,547,0,0,0
P1,WT,20816,Barcode2,Barcode6,20816,658,0,0,0,559,0,0,0
P1,Barcode11-Barcode9,19101,Barcode11,Barcode9,19101,102,0,0,0,398,0,0,0
P1,I777K-L900S,17159,Barcode3,Barcode7,17159,2302,0,0,0,222,0,0,0
P1,control,16619,Barcode12,Barcode10,16619,2656,0,0,0,279,0,0,0
P1,Barcode4-Barcode8,15245,Barcode4,Barcode8,15245,340,0,0,0,350,0,0,0
P1,Barcode2-Barcode9,948,Barcode2,Barcode9,948,22,0,0,0,23,0,0,0
P1,Barcode2-Barcode10,892,Barcode2,Barcode10,892,26,0,0,0,14,0,0,0
P1,Barcode3-Barcode9,885,Barcode3,Barcode9,885,106,0,0,0,13,0,0,0
P1,Barcode3-Barcode10,876,Barcode3,Barcode10,876,118,0,0,0,3,0,0,0
P1,Barcode12-Barcode6,864,Barcode12,Barcode6,864,140,0,0,0,28,0,0,0
P1,Barcode12-Barcode9,859,Barcode12,Barcode9,859,138,0,0,0,22,0,0,0
P1,Barcode1-Barcode9,846,Barcode1,Barcode9,846,20,0,0,0,20,0,0,0
P1,Barcode1-Barcode6,842,Barcode1,Barcode6,842,19,0,0,0,25,0,0,0
P1,Barcode3-Barcode6,812,Barcode3,Barcode6,812,103,0,0,0,18,0,0,0
P1,Barcode1-Barcode10,804,Barcode1,Barcode10,804,14,0,0,0,21,0,0,0
P1,Barcode2-Barcode5,793,Barcode2,Barcode5,793,24,0,0,0,12,0,0,0
P1,Barcode2-Barcode7,790,Barcode2,Barcode7,790,29,0,0,0,11,0,0,0
P1,Barcode11-Barcode10,787,Barcode11,Barcode10,787,3,0,0,0,17,0,0,0
P1,Barcode11-Barcode6,778,Barcode11,Barcode6,778,5,0,0,0,21,0,0,0
P1,Barcode3-Barcode5,772,Barcode3,Barcode5,772,93,0,0,0,15,0,0,0
P1,Barcode1-Barcode7,757,Barcode1,Barcode7,757,22,0,0,0,14,0,0,0
P1,Barcode11-Barcode5,737,Barcode11,Barcode5,737,8,0,0,0,20,0,0,0
P1,Barcode12-Barcode7,678,Barcode12,Barcode7,678,98,0,0,0,6,0,0,0
P1,Barcode12-Barcode5,668,Barcode12,Barcode5,668,101,0,0,0,15,0,0,0
P1,Barcode4-Barcode6,667,Barcode4,Barcode6,667,18,0,0,0,23,0,0,0
P1,Barcode3-Barcode8,665,Barcode3,Barcode8,665,74,0,0,0,16,0,0,0
P1,Barcode1-Barcode8,659,Barcode1,Barcode8,659,10,0,0,0,22,0,0,0
P1,Barcode11-Barcode7,650,Barcode11,Barcode7,650,3,0,0,0,11,0,0,0
P1,Barcode4-Barcode9,649,Barcode4,Barcode9,649,18,0,0,0,10,0,0,0
P1,Barcode2-Barcode8,631,Barcode2,Barcode8,631,19,0,0,0,22,0,0,0
P1,Barcode4-Barcode10,629,Barcode4,Barcode10,629,17,0,0,0,20,0,0,0
P1,Barcode12-Barcode8,626,Barcode12,Barcode8,626,90,0,0,0,14,0,0,0
P1,Barcode11-Barcode8,585,Barcode11,Barcode8,585,2,0,0,0,14,0,0,0
P1,Barcode4-Barcode5,582,Barcode4,Barcode5,582,14,0,0,0,17,0,0,0
P1,Barcode4-Barcode7,561,Barcode4,Barcode7,561,16,0,0,0,16,0,0,0
P1,Barcode1-fail,266,Barcode1,fail,266,10,0,0,0,0,180,86,0
P1,Barcode2-fail,243,Barcode2,fail,243,22,0,0,0,0,160,83,0
P1,Barcode12-fail,212,Barcode12,fail,212,37,0,0,0,0,148,64,0
P1,Barcode4-fail,202,Barcode4,fail,202,9,0,0,0,0,144,58,0
P1,Barcode11-fail,187,Barcode11,fail,187,5,0,0,0,0,130,57,0
P1,fail-Barcode6,167,fail,Barcode6,167,0,155,12,0,8,0,0,0
P1,Barcode3-fail,165,Barcode3,fail,165,22,0,0,0,0,125,40,0
P1,fail-Barcode5,152,fail,Barcode5,152,0,139,13,0,5,0,0,0
P1,fail-Barcode8,140,fail,Barcode8,140,0,128,12,0,4,0,0,0
P1,fail-Barcode7,133,fail,Barcode7,133,0,99,34,0,4,0,0,0
P1,fail-Barcode10,115,fail,Barcode10,115,0,103,12,0,3,0,0,0
P1,fail-Barcode9,74,fail,Barcode9,74,0,71,3,0,2,0,0,0
P1,fail-fail,29,fail,fail,29,0,22,7,0,0,26,3,0
P1,Barcode2-Barcode2,1,Barcode2,Barcode2,1,1,0,0,0,1,0,0,0
P7,TPDNAP42,21600,Barcode1,Barcode5,21600,476,0,0,0,606,0,0,0
P7,WT,21089,Barcode2,Barcode6,21089,608,0,0,0,686,0,0,0
P7,Barcode4-Barcode8,20677,Barcode4,Barcode8,20677,543,0,0,0,308,0,0,0
P7,I777K-L900S,18144,Barcode3,Barcode7,18144,2066,0,0,0,154,0,0,0
P7,control,18011,Barcode12,Barcode10,18011,2361,0,0,0,248,0,0,0
P7,Barcode11-Barcode9,14883,Barcode11,Barcode9,14883,52,0,0,0,308,0,0,0
P7,Barcode1-Barcode10,1016,Barcode1,Barcode10,1016,22,0,0,0,14,0,0,0
P7,Barcode2-Barcode8,1002,Barcode2,Barcode8,1002,28,0,0,0,9,0,0,0
P7,Barcode1-Barcode6,974,Barcode1,Barcode6,974,19,0,0,0,46,0,0,0
P7,Barcode1-Barcode8,948,Barcode1,Barcode8,948,26,0,0,0,19,0,0,0
P7,Barcode2-Barcode10,944,Barcode2,Barcode10,944,29,0,0,0,9,0,0,0
P7,Barcode3-Barcode10,931,Barcode3,Barcode10,931,102,0,0,0,14,0,0,0
P7,Barcode4-Barcode6,922,Barcode4,Barcode6,922,20,0,0,0,40,0,0,0
P7,Barcode3-Barcode5,909,Barcode3,Barcode5,909,107,0,0,0,26,0,0,0
P7,Barcode3-Barcode6,909,Barcode3,Barcode6,909,91,0,0,0,36,0,0,0
P7,Barcode4-Barcode5,887,Barcode4,Barcode5,887,22,0,0,0,29,0,0,0
P7,Barcode12-Barcode6,885,Barcode12,Barcode6,885,134,0,0,0,36,0,0,0
P7,Barcode2-Barcode5,884,Barcode2,Barcode5,884,27,0,0,0,25,0,0,0
P7,Barcode4-Barcode10,875,Barcode4,Barcode10,875,16,0,0,0,8,0,0,0
P7,Barcode4-Barcode7,858,Barcode4,Barcode7,858,22,0,0,0,5,0,0,0
P7,Barcode2-Barcode7,851,Barcode2,Barcode7,851,25,0,0,0,5,0,0,0
P7,Barcode3-Barcode8,845,Barcode3,Barcode8,845,78,0,0,0,10,0,0,0
P7,Barcode1-Barcode7,828,Barcode1,Barcode7,828,18,0,0,0,5,0,0,0
P7,Barcode12-Barcode8,822,Barcode12,Barcode8,822,85,0,0,0,14,0,0,0
P7,Barcode12-Barcode5,788,Barcode12,Barcode5,788,106,0,0,0,19,0,0,0
P7,Barcode12-Barcode7,779,Barcode12,Barcode7,779,108,0,0,0,3,0,0,0
P7,Barcode1-Barcode9,709,Barcode1,Barcode9,709,17,0,0,0,14,0,0,0
P7,Barcode2-Barcode9,665,Barcode2,Barcode9,665,13,0,0,0,9,0,0,0
P7,Barcode11-Barcode6,656,Barcode11,Barcode6,656,2,0,0,0,23,0,0,0
P7,Barcode11-Barcode10,651,Barcode11,Barcode10,651,0,0,0,0,10,0,0,0
P7,Barcode4-Barcode9,649,Barcode4,Barcode9,649,13,0,0,0,12,0,0,0
P7,Barcode11-Barcode8,644,Barcode11,Barcode8,644,2,0,0,0,7,0,0,0
P7,Barcode12-Barcode9,630,Barcode12,Barcode9,630,85,0,0,0,11,0,0,0
P7,Barcode3-Barcode9,623,Barcode3,Barcode9,623,60,0,0,0,10,0,0,0
P7,Barcode11-Barcode5,621,Barcode11,Barcode5,621,8,0,0,0,22,0,0,0
P7,Barcode11-Barcode7,572,Barcode11,Barcode7,572,5,0,0,0,5,0,0,0
P7,Barcode4-fail,245,Barcode4,fail,245,8,0,0,0,0,201,44,0
P7,Barcode1-fail,233,Barcode1,fail,233,11,0,0,0,0,157,76,0
P7,Barcode2-fail,230,Barcode2,fail,230,13,0,0,0,0,168,62,0
P7,Barcode12-fail,205,Barcode12,fail,205,28,0,0,0,0,160,45,0
P7,fail-Barcode8,204,fail,Barcode8,204,0,180,24,0,2,0,0,0
P7,fail-Barcode6,171,fail,Barcode6,171,0,161,10,0,6,0,0,0
P7,fail-Barcode5,156,fail,Barcode5,156,0,148,8,0,0,0,0,0
P7,Barcode3-fail,153,Barcode3,fail,153,15,0,0,0,0,129,24,0
P7,fail-Barcode7,150,fail,Barcode7,150,0,124,26,0,4,0,0,0
P7,Barcode11-fail,145,Barcode11,fail,145,5,0,0,0,0,92,53,0
P7,fail-Barcode10,109,fail,Barcode10,109,0,95,14,0,2,0,0,0
P7,fail-Barcode9,68,fail,Barcode9,68,0,65,3,0,2,0,0,0
P7,fail-fail,27,fail,fail,27,0,23,4,0,0,22,5,0
P11,Barcode4-Barcode8,20187,Barcode4,Barcode8,20187,519,0,0,0,340,0,0,0
P11,Barcode11-Barcode9,20011,Barcode11,Barcode9,20011,82,0,0,0,458,0,0,0
P11,TPDNAP42,19620,Barcode1,Barcode5,19620,453,0,0,0,562,0,0,0
P11,I777K-L900S,18104,Barcode3,Barcode7,18104,1953,0,0,0,125,0,0,0
P11,WT,18103,Barcode2,Barcode6,18103,635,0,0,0,634,0,0,0
P11,control,14922,Barcode12,Barcode10,14922,1850,0,0,0,235,0,0,0
P11,Barcode1-Barcode8,884,Barcode1,Barcode8,884,16,0,0,0,11,0,0,0
P11,Barcode3-Barcode8,875,Barcode3,Barcode8,875,97,0,0,0,7,0,0,0
P11,Barcode1-Barcode9,860,Barcode1,Barcode9,860,26,0,0,0,15,0,0,0
P11,Barcode3-Barcode10,846,Barcode3,Barcode10,846,101,0,0,0,10,0,0,0
P11,Barcode3-Barcode9,841,Barcode3,Barcode9,841,98,0,0,0,18,0,0,0
P11,Barcode1-Barcode10,828,Barcode1,Barcode10,828,17,0,0,0,15,0,0,0
P11,Barcode2-Barcode8,822,Barcode2,Barcode8,822,36,0,0,0,18,0,0,0
P11,Barcode4-Barcode9,811,Barcode4,Barcode9,811,30,0,0,0,24,0,0,0
P11,Barcode2-Barcode10,805,Barcode2,Barcode10,805,27,0,0,0,10,0,0,0
P11,Barcode4-Barcode5,804,Barcode4,Barcode5,804,20,0,0,0,24,0,0,0
P11,Barcode1-Barcode7,789,Barcode1,Barcode7,789,17,0,0,0,7,0,0,0
P11,Barcode1-Barcode6,786,Barcode1,Barcode6,786,18,0,0,0,41,0,0,0
P11,Barcode4-Barcode7,786,Barcode4,Barcode7,786,7,0,0,0,8,0,0,0
P11,Barcode4-Barcode10,779,Barcode4,Barcode10,779,13,0,0,0,11,0,0,0
P11,Barcode2-Barcode9,776,Barcode2,Barcode9,776,26,0,0,0,13,0,0,0
P11,Barcode12-Barcode9,765,Barcode12,Barcode9,765,99,0,0,0,18,0,0,0
P11,Barcode4-Barcode6,760,Barcode4,Barcode6,760,18,0,0,0,40,0,0,0
P11,Barcode3-Barcode5,758,Barcode3,Barcode5,758,72,0,0,0,29,0,0,0
P11,Barcode2-Barcode7,751,Barcode2,Barcode7,751,25,0,0,0,5,0,0,0
P11,Barcode12-Barcode5,750,Barcode12,Barcode5,750,102,0,0,0,13,0,0,0
P11,Barcode3-Barcode6,745,Barcode3,Barcode6,745,75,0,0,0,30,0,0,0
P11,Barcode11-Barcode10,742,Barcode11,Barcode10,742,5,0,0,0,8,0,0,0
P11,Barcode12-Barcode8,737,Barcode12,Barcode8,737,80,0,0,0,9,0,0,0
P11,Barcode2-Barcode5,736,Barcode2,Barcode5,736,26,0,0,0,15,0,0,0
P11,Barcode12-Barcode7,728,Barcode12,Barcode7,728,107,0,0,0,5,0,0,0
P11,Barcode11-Barcode8,723,Barcode11,Barcode8,723,2,0,0,0,12,0,0,0
P11,Barcode11-Barcode6,716,Barcode11,Barcode6,716,3,0,0,0,34,0,0,0
P11,Barcode11-Barcode7,715,Barcode11,Barcode7,715,3,0,0,0,8,0,0,0
P11,Barcode12-Barcode6,714,Barcode12,Barcode6,714,105,0,0,0,22,0,0,0
P11,Barcode11-Barcode5,683,Barcode11,Barcode5,683,2,0,0,0,12,0,0,0
P11,Barcode4-fail,244,Barcode4,fail,244,10,0,0,0,0,195,49,0
P11,Barcode11-fail,224,Barcode11,fail,224,2,0,0,0,0,148,76,0
P11,Barcode2-fail,224,Barcode2,fail,224,15,0,0,0,0,165,59,0
P11,Barcode1-fail,215,Barcode1,fail,215,9,0,0,0,0,155,60,0
P11,Barcode12-fail,171,Barcode12,fail,171,25,0,0,0,0,134,37,0
P11,fail-Barcode6,162,fail,Barcode6,162,0,149,13,0,6,0,0,0
P11,fail-Barcode8,158,fail,Barcode8,158,0,141,17,0,4,0,0,0
P11,Barcode3-fail,151,Barcode3,fail,151,16,0,0,0,0,123,28,0
P11,fail-Barcode7,145,fail,Barcode7,145,0,113,32,0,5,0,0,0
P11,fail-Barcode5,133,fail,Barcode5,133,0,126,7,0,4,0,0,0
P11,fail-Barcode10,101,fail,Barcode10,101,0,86,15,0,1,0,0,0
P11,fail-Barcode9,91,fail,Barcode9,91,0,85,6,0,3,0,0,0
P11,fail-fail,14,fail,fail,14,0,12,2,0,0,13,1,0
P11,Barcode11-Barcode3,1,Barcode11,Barcode3,1,0,0,0,0,1,0,0,0
P14,WT,19091,Barcode2,Barcode6,19091,623,0,0,0,637,0,0,0
