tag,barcode_group,total_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
P1,I777K-L900S,17159,0,,,,,22228.0,1187.0,0.002885108,1.3,1,10070.0,12158.0,748.0,439.0,427,230,1492.0,2321.0,1113.0,976.0,2006.0,6653.0,1129.0,2215.0,329.0,1456.0,2055.0,483.0,107.0,121.0,96.0,116.0,109.0,133.0,103.0,103.0,76.0,83.0,82.0,58.0
P1,TPDNAP42,21307,0,,,,,47601.0,1241.0,0.0049756226,2.23,1,15565.0,32036.0,792.0,449.0,650,384,2355.0,3573.0,1509.0,1616.0,3107.0,2589.0,2302.0,3308.0,530.0,2203.0,23572.0,937.0,111.0,122.0,102.0,129.0,112.0,134.0,109.0,106.0,83.0,82.0,84.0,67.0
P1,WT,20816,0,,,,,19031.0,1174.0,0.0020361885,0.91,0,13594.0,5437.0,737.0,437.0,582,318,2182.0,1320.0,1466.0,1299.0,2611.0,929.0,1289.0,3040.0,400.0,1868.0,1899.0,728.0,107.0,118.0,106.0,118.0,108.0,130.0,106.0,95.0,67.0,75.0,83.0,61.0
P1,control,16619,0,,,,,15958.0,1167.0,0.0021385885,0.96,0,11390.0,4568.0,741.0,426.0,349,216,1699.0,1157.0,1228.0,1102.0,2403.0,835.0,1080.0,2374.0,353.0,1637.0,1496.0,594.0,106.0,118.0,106.0,110.0,107.0,123.0,103.0,99.0,74.0,80.0,82.0,59.0
P7,I777K-L900S,18144,0,,,,,26874.0,1202.0,0.0032987768,1.48,1,8107.0,18767.0,758.0,444.0,578,293,1132.0,3367.0,992.0,820.0,1619.0,11717.0,1545.0,1642.0,334.0,1137.0,2138.0,431.0,102.0,120.0,103.0,112.0,109.0,134.0,108.0,108.0,78.0,79.0,82.0,67.0
P7,TPDNAP42,21600,0,,,,,54104.0,1251.0,0.0055786521,2.5,2,12665.0,41439.0,802.0,449.0,1693,409,2186.0,8601.0,1185.0,1486.0,2270.0,6343.0,2792.0,2555.0,496.0,1783.0,23703.0,704.0,113.0,122.0,101.0,128.0,115.0,134.0,109.0,99.0,89.0,84.0,84.0,73.0
P7,WT,21089,0,,,,,14161.0,1185.0,0.0014955178,0.67,0,9933.0,4228.0,757.0,428.0,494,275,1616.0,1036.0,1120.0,969.0,1813.0,860.0,998.0,2250.0,327.0,1349.0,1334.0,489.0,107.0,115.0,103.0,115.0,110.0,131.0,102.0,104.0,75.0,82.0,80.0,61.0
P7,control,18011,0,,,,,13092.0,1182.0,0.0016189067,0.73,0,9186.0,3906.0,757.0,425.0,343,251,1419.0,971.0,968.0,922.0,1879.0,807.0,846.0,1947.0,260.0,1297.0,1282.0,494.0,103.0,116.0,102.0,117.0,109.0,123.0,103.0,106.0,73.0,82.0,83.0,65.0
P11,I777K-L900S,18104,0,,,,,32702.0,1214.0,0.0040230315,1.81,1,9284.0,23418.0,766.0,448.0,804,428,1360.0,4026.0,1129.0,912.0,1755.0,15002.0,2047.0,1842.0,430.0,1335.0,2343.0,521.0,108.0,122.0,100.0,116.0,111.0,134.0,109.0,103.0,81.0,81.0,83.0,66.0
P11,TPDNAP42,19620,0,,,,,46050.0,1253.0,0.0052273826,2.35,2,12160.0,33890.0,805.0,448.0,1092,338,1838.0,4673.0,1240.0,1301.0,2163.0,4682.0,2937.0,2575.0,439.0,1839.0,21598.0,765.0,114.0,122.0,103.0,127.0,114.0,134.0,108.0,105.0,84.0,84.0,84.0,74.0
