tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
P0,G3,272,Barcode7,Barcode1,272,0,0,0,0,0,0,0,0
P0,A8,180,Barcode4,Barcode4,180,0,0,0,0,1,0,0,0
P0,515-2B,164,Barcode4,Barcode1,164,0,0,0,0,2,0,0,0
P0,G4,161,Barcode7,Barcode4,161,0,0,0,0,0,0,0,0
P0,515-2A,121,Barcode1,Barcode7,121,0,0,0,0,0,0,0,0
P0,D3,61,Barcode4,Barcode7,61,0,0,0,0,0,0,0,0
P0,453-A1,50,Barcode1,Barcode1,50,0,0,0,0,0,0,0,0
P0,pControl,30,Barcode7,Barcode7,30,0,0,0,0,0,0,0,0
P0,453-A2,12,Barcode1,Barcode4,12,0,0,0,0,0,0,0,0
P0,Barcode4-fail,4,Barcode4,fail,4,0,0,0,0,0,2,2,0
P0,fail-Barcode4,3,fail,Barcode4,3,0,2,1,0,0,0,0,0
P0,fail-Barcode7,3,fail,Barcode7,3,0,1,2,0,0,0,0,0
P0,Barcode2-Barcode1,2,Barcode2,Barcode1,2,2,0,0,0,0,0,0,0
P0,fail-Barcode1,2,fail,Barcode1,2,0,1,1,0,0,0,0,0
P0,Barcode6-Barcode7,1,Barcode6,Barcode7,1,1,0,0,0,0,0,0,0
P0,Barcode7-Barcode2,1,Barcode7,Barcode2,1,0,0,0,0,1,0,0,0
P0,Barcode7-Barcode6,1,Barcode7,Barcode6,1,0,0,0,0,1,0,0,0
P0,Barcode7-fail,1,Barcode7,fail,1,0,0,0,0,0,1,0,0
P10,515-2B,777,Barcode4,Barcode1,777,0,0,0,0,1,0,0,0
P10,515-2A,567,Barcode1,Barcode7,567,0,0,0,0,1,0,0,0
P10,G4,444,Barcode7,Barcode4,444,0,0,0,0,0,0,0,0
P10,453-A1,416,Barcode1,Barcode1,416,0,0,0,0,0,0,0,0
P10,D3,261,Barcode4,Barcode7,261,0,0,0,0,0,0,0,0
P10,G3,199,Barcode7,Barcode1,199,0,0,0,0,0,0,0,0
P10,A8,171,Barcode4,Barcode4,171,0,0,0,0,0,0,0,0
P10,453-A2,151,Barcode1,Barcode4,151,0,0,0,0,0,0,0,0
P10,pControl,59,Barcode7,Barcode7,59,0,0,0,0,0,0,0,0
P10,Barcode4-fail,12,Barcode4,fail,12,0,0,0,0,0,12,0,0
P10,fail-Barcode7,10,fail,Barcode7,10,0,9,1,0,0,0,0,0
P10,Barcode1-fail,9,Barcode1,fail,9,0,0,0,0,0,9,0,0
P10,fail-Barcode1,9,fail,Barcode1,9,0,9,0,0,0,0,0,0
P10,fail-Barcode4,5,fail,Barcode4,5,0,5,0,0,0,0,0,0
P10,Barcode7-fail,3,Barcode7,fail,3,0,0,0,0,0,3,0,0
P10,Barcode6-Barcode7,2,Barcode6,Barcode7,2,2,0,0,0,0,0,0,0
P10,Barcode2-Barcode1,1,Barcode2,Barcode1,1,1,0,0,0,0,0,0,0
P10,Barcode6-Barcode1,1,Barcode6,Barcode1,1,1,0,0,0,0,0,0,0
P0-TAG,G3,273,Barcode7,Barcode1,273,0,0,0,0,0,0,0,0
P0-TAG,A8,180,Barcode4,Barcode4,180,0,0,0,0,1,0,0,0
P0-TAG,515-2B,162,Barcode4,Barcode1,162,0,0,0,0,1,0,0,0
P0-TAG,G4,161,Barcode7,Barcode4,161,0,0,0,0,0,0,0,0
P0-TAG,515-2A,121,Barcode1,Barcode7,121,0,0,0,0,0,0,0,0
P0-TAG,D3,61,Barcode4,Barcode7,61,0,0,0,0,0,0,0,0
P0-TAG,453-A1,50,Barcode1,Barcode1,50,0,0,0,0,0,0,0,0
P0-TAG,pControl,30,Barcode7,Barcode7,30,0,0,0,0,0,0,0,0
P0-TAG,453-A2,12,Barcode1,Barcode4,12,0,0,0,0,0,0,0,0
P0-TAG,Barcode4-fail,5,Barcode4,fail,5,0,0,0,0,0,5,0,0
P0-TAG,fail-Barcode1,5,fail,Barcode1,5,0,4,1,0,0,0,0,0
P0-TAG,fail-Barcode7,4,fail,Barcode7,4,0,4,0,0,0,0,0,0
P0-TAG,fail-Barcode4,3,fail,Barcode4,3,0,3,0,0,0,0,0,0
P0-TAG,Barcode7-fail,2,Barcode7,fail,2,0,0,0,0,0,2,0,0
P10-TAG,515-2B,777,Barcode4,Barcode1,777,0,0,0,0,1,0,0,0
P10-TAG,515-2A,567,Barcode1,Barcode7,567,0,0,0,0,1,0,0,0
P10-TAG,G4,444,Barcode7,Barcode4,444,0,0,0,0,0,0,0,0
P10-TAG,453-A1,416,Barcode1,Barcode1,416,0,0,0,0,0,0,0,0
P10-TAG,D3,261,Barcode4,Barcode7,261,0,0,0,0,0,0,0,0
P10-TAG,G3,199,Barcode7,Barcode1,199,0,0,0,0,0,0,0,0
P10-TAG,A8,171,Barcode4,Barcode4,171,0,0,0,0,0,0,0,0
P10-TAG,453-A2,151,Barcode1,Barcode4,151,0,0,0,0,0,0,0,0
P10-TAG,pControl,59,Barcode7,Barcode7,59,0,0,0,0,0,0,0,0
P10-TAG,Barcode4-fail,12,Barcode4,fail,12,0,0,0,0,0,12,0,0
P10-TAG,fail-Barcode7,10,fail,Barcode7,10,0,9,1,0,0,0,0,0
P10-TAG,Barcode1-fail,9,Barcode1,fail,9,0,0,0,0,0,9,0,0
P10-TAG,fail-Barcode1,9,fail,Barcode1,9,0,9,0,0,0,0,0,0
P10-TAG,fail-Barcode4,5,fail,Barcode4,5,0,5,0,0,0,0,0,0
P10-TAG,Barcode7-fail,3,Barcode7,fail,3,0,0,0,0,0,3,0,0
P10-TAG,Barcode6-Barcode7,2,Barcode6,Barcode7,2,2,0,0,0,0,0,0,0
P10-TAG,Barcode2-Barcode1,1,Barcode2,Barcode1,1,1,0,0,0,0,0,0,0
P10-TAG,Barcode6-Barcode1,1,Barcode6,Barcode1,1,1,0,0,0,0,0,0,0
