tag,barcode_group,total_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
P0,453-A1,50,0,,,,,127.0,65.0,0.0011582307,2.54,3,3.0,124.0,2.0,63.0,121,0,0.0,31.0,0.0,1.0,0.0,85.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,1.0,0.0,34.0,4.0,1.0,0.0,0.0,3.0,0.0
P0,453-A2,12,0,,,,,53.0,16.0,0.0020139839,4.42,4,1.0,52.0,1.0,15.0,27,0,0.0,20.0,0.0,0.0,0.0,30.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0
P0,515-2A,121,0,,,,,194.0,86.0,0.0007311016,1.6,1,22.0,172.0,10.0,76.0,266,48,1.0,100.0,0.0,0.0,1.0,60.0,10.0,5.0,4.0,5.0,2.0,6.0,1.0,27.0,0.0,0.0,1.0,38.0,9.0,2.0,1.0,3.0,2.0,2.0
P0,515-2B,164,0,,,,,236.0,86.0,0.0006561899,1.44,1,11.0,225.0,5.0,81.0,308,0,2.0,88.0,0.0,0.0,0.0,113.0,13.0,3.0,0.0,1.0,11.0,5.0,1.0,26.0,0.0,0.0,0.0,40.0,8.0,2.0,0.0,1.0,7.0,1.0
P0,A8,180,0,,,,,762.0,200.0,0.0019303846,4.23,4,12.0,750.0,6.0,194.0,453,9,0.0,288.0,0.0,0.0,0.0,413.0,30.0,7.0,1.0,2.0,19.0,2.0,0.0,46.0,0.0,0.0,0.0,111.0,22.0,2.0,1.0,1.0,15.0,2.0
P0,D3,61,0,,,,,236.0,90.0,0.0017641826,3.87,4,8.0,228.0,7.0,83.0,159,1,0.0,65.0,0.0,2.0,0.0,142.0,7.0,2.0,1.0,1.0,14.0,2.0,0.0,22.0,0.0,2.0,0.0,45.0,7.0,2.0,1.0,1.0,9.0,1.0
P0,G3,272,0,,,,,400.0,211.0,0.0006705829,1.47,1,17.0,383.0,8.0,203.0,584,21,0.0,146.0,0.0,1.0,0.0,174.0,41.0,9.0,0.0,4.0,22.0,3.0,0.0,48.0,0.0,1.0,0.0,122.0,22.0,2.0,0.0,3.0,11.0,2.0
P0,G4,161,0,,,,,330.0,136.0,0.0009346509,2.05,2,9.0,321.0,5.0,131.0,356,9,0.0,136.0,0.0,0.0,1.0,164.0,15.0,6.0,0.0,1.0,6.0,1.0,0.0,38.0,0.0,0.0,1.0,78.0,9.0,2.0,0.0,1.0,6.0,1.0
P0,pControl,30,0,,,,,9.0,5.0,0.0001367989,0.3,0,0.0,9.0,0.0,5.0,32,0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
P10,453-A1,416,0,,,,,1958.0,547.0,0.0021462521,4.71,5,25.0,1933.0,12.0,535.0,1192,150,0.0,441.0,0.0,0.0,0.0,1340.0,95.0,15.0,3.0,2.0,57.0,5.0,0.0,154.0,0.0,0.0,0.0,288.0,61.0,4.0,3.0,2.0,32.0,3.0
P10,453-A2,151,0,,,,,931.0,278.0,0.0028114742,6.17,6,14.0,917.0,7.0,271.0,495,97,1.0,334.0,0.0,1.0,0.0,512.0,44.0,6.0,5.0,0.0,27.0,1.0,1.0,77.0,0.0,1.0,0.0,150.0,26.0,1.0,3.0,0.0,18.0,1.0
P10,515-2A,567,0,,,,,1760.0,501.0,0.0014154384,3.1,3,89.0,1671.0,15.0,486.0,1460,865,1.0,673.0,0.0,1.0,0.0,880.0,72.0,53.0,23.0,4.0,46.0,7.0,1.0,144.0,0.0,1.0,0.0,271.0,43.0,3.0,3.0,4.0,28.0,3.0
P10,515-2B,777,0,,,,,2207.0,554.0,0.0012952174,2.84,3,59.0,2148.0,17.0,537.0,2100,538,0.0,539.0,0.0,20.0,0.0,1430.0,113.0,27.0,6.0,0.0,66.0,6.0,0.0,163.0,0.0,4.0,0.0,292.0,51.0,5.0,5.0,0.0,31.0,3.0
P10,A8,171,0,,,,,1116.0,275.0,0.0029759762,6.53,6,19.0,1097.0,9.0,266.0,484,97,2.0,320.0,0.0,2.0,0.0,698.0,60.0,7.0,5.0,0.0,19.0,3.0,2.0,69.0,0.0,1.0,0.0,155.0,29.0,2.0,3.0,0.0,13.0,1.0
P10,D3,261,0,,,,,2129.0,428.0,0.0037196024,8.16,8,15.0,2114.0,6.0,422.0,787,180,1.0,514.0,1.0,0.0,0.0,1364.0,178.0,7.0,2.0,0.0,58.0,4.0,1.0,119.0,1.0,0.0,0.0,212.0,54.0,1.0,2.0,0.0,37.0,1.0
P10,G3,199,0,,,,,600.0,347.0,0.0013748634,3.02,3,14.0,586.0,6.0,341.0,565,147,0.0,157.0,0.0,1.0,0.0,346.0,64.0,8.0,3.0,0.0,19.0,2.0,0.0,71.0,0.0,1.0,0.0,215.0,39.0,1.0,3.0,0.0,16.0,1.0
P10,G4,444,0,,,,,1715.0,529.0,0.0017613373,3.86,4,32.0,1683.0,13.0,516.0,1278,223,0.0,529.0,0.0,1.0,0.0,1001.0,107.0,20.0,2.0,1.0,46.0,8.0,0.0,132.0,0.0,1.0,0.0,296.0,59.0,6.0,2.0,1.0,29.0,3.0
P10,pControl,59,0,,,,,26.0,8.0,0.0002009475,0.44,0,6.0,20.0,5.0,3.0,43,0,0.0,17.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
P0-TAG,453-A1,50,0,93.0,40.0,1.86,2.0,138.0,68.0,0.0012568306,2.76,3,6.0,132.0,3.0,65.0,0,0,0.0,36.0,0.0,1.0,0.0,85.0,8.0,3.0,0.0,0.0,3.0,2.0,0.0,23.0,0.0,1.0,0.0,34.0,5.0,1.0,0.0,0.0,3.0,1.0
P0-TAG,453-A2,12,0,23.0,11.0,1.9166666666666667,2.0,54.0,17.0,0.0020491803,4.5,4,1.0,53.0,1.0,16.0,0,0,0.0,20.0,0.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,1.0,0.0
P0-TAG,515-2A,121,0,148.0,58.0,1.2231404958677683,1.0,241.0,85.0,0.0009069834,1.99,2,42.0,199.0,9.0,76.0,0,98,1.0,113.0,0.0,23.0,0.0,66.0,19.0,8.0,4.0,3.0,1.0,3.0,1.0,28.0,0.0,1.0,0.0,37.0,10.0,2.0,1.0,2.0,1.0,2.0
P0-TAG,515-2B,162,0,167.0,55.0,1.030864197530864,1.0,290.0,85.0,0.0008151746,1.79,2,55.0,235.0,6.0,79.0,1,0,2.0,97.0,0.0,39.0,0.0,116.0,14.0,11.0,0.0,2.0,8.0,1.0,1.0,25.0,0.0,1.0,0.0,41.0,7.0,2.0,0.0,1.0,6.0,1.0
P0-TAG,A8,180,0,298.0,129.0,1.6555555555555554,2.0,788.0,199.0,0.0019935236,4.38,4,17.0,771.0,7.0,192.0,1,33,0.0,293.0,0.0,0.0,0.0,432.0,31.0,8.0,1.0,3.0,15.0,5.0,0.0,45.0,0.0,0.0,0.0,111.0,22.0,2.0,1.0,2.0,14.0,2.0
P0-TAG,D3,61,0,115.0,60.0,1.8852459016393444,2.0,245.0,92.0,0.0018289588,4.02,4,8.0,237.0,7.0,85.0,1,6,0.0,70.0,0.0,2.0,0.0,141.0,11.0,2.0,1.0,1.0,15.0,2.0,0.0,23.0,0.0,2.0,0.0,44.0,8.0,2.0,1.0,1.0,10.0,1.0
P0-TAG,G3,273,0,247.0,137.0,0.9047619047619048,1.0,410.0,211.0,0.0006838941,1.5,1,19.0,391.0,6.0,205.0,3,31,0.0,154.0,0.0,1.0,0.0,182.0,42.0,14.0,0.0,2.0,13.0,2.0,0.0,51.0,0.0,1.0,0.0,124.0,20.0,2.0,0.0,1.0,10.0,2.0
P0-TAG,G4,161,0,142.0,88.0,0.8819875776397516,1.0,354.0,137.0,0.0010012558,2.2,2,9.0,345.0,4.0,133.0,0,19,0.0,145.0,0.0,0.0,0.0,173.0,21.0,6.0,0.0,2.0,6.0,1.0,0.0,37.0,0.0,0.0,0.0,78.0,12.0,2.0,0.0,1.0,6.0,1.0
P0-TAG,pControl,30,0,6.0,4.0,0.2,0.0,14.0,8.0,0.0002125076,0.47,0,1.0,13.0,1.0,7.0,1,0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0
P10-TAG,453-A1,416,0,1234.0,354.0,2.9663461538461537,3.0,1962.0,549.0,0.0021476986,4.72,5,23.0,1939.0,11.0,538.0,7,150,0.0,444.0,0.0,0.0,0.0,1340.0,98.0,15.0,3.0,2.0,57.0,3.0,0.0,156.0,0.0,0.0,0.0,288.0,62.0,4.0,3.0,2.0,32.0,2.0
P10-TAG,453-A2,151,0,479.0,171.0,3.172185430463576,3.0,932.0,279.0,0.0028106491,6.17,6,14.0,918.0,7.0,272.0,54,97,1.0,334.0,0.0,1.0,0.0,512.0,45.0,6.0,5.0,0.0,27.0,1.0,1.0,77.0,0.0,1.0,0.0,150.0,27.0,1.0,3.0,0.0,18.0,1.0
P10-TAG,515-2A,567,0,1049.0,299.0,1.8500881834215168,2.0,1776.0,502.0,0.0014263548,3.13,3,96.0,1680.0,14.0,488.0,7,868,1.0,678.0,0.0,10.0,0.0,880.0,76.0,53.0,23.0,4.0,46.0,5.0,1.0,145.0,0.0,2.0,0.0,271.0,44.0,3.0,3.0,4.0,28.0,1.0
P10-TAG,515-2B,777,0,1287.0,359.0,1.6563706563706564,1.0,2463.0,557.0,0.001443481,3.17,3,309.0,2154.0,17.0,540.0,208,537,0.0,542.0,0.0,271.0,0.0,1430.0,116.0,27.0,6.0,0.0,66.0,5.0,0.0,165.0,0.0,5.0,0.0,292.0,52.0,5.0,5.0,0.0,31.0,2.0
P10-TAG,A8,171,0,443.0,179.0,2.590643274853801,2.0,1121.0,278.0,0.0029852257,6.56,6,19.0,1102.0,9.0,269.0,16,97,2.0,322.0,0.0,2.0,0.0,699.0,62.0,7.0,5.0,0.0,19.0,3.0,2.0,70.0,0.0,1.0,0.0,156.0,30.0,2.0,3.0,0.0,13.0,1.0
P10-TAG,D3,261,0,919.0,278.0,3.521072796934866,4.0,2135.0,430.0,0.0037249894,8.18,8,15.0,2120.0,6.0,424.0,25,180,1.0,518.0,1.0,0.0,0.0,1364.0,180.0,7.0,2.0,0.0,58.0,4.0,1.0,120.0,1.0,0.0,0.0,212.0,55.0,1.0,2.0,0.0,37.0,1.0
P10-TAG,G3,199,0,372.0,222.0,1.8693467336683416,1.0,602.0,349.0,0.0013775618,3.03,3,14.0,588.0,6.0,343.0,1,147,0.0,158.0,0.0,1.0,0.0,346.0,65.0,8.0,3.0,0.0,19.0,2.0,0.0,72.0,0.0,1.0,0.0,215.0,40.0,1.0,3.0,0.0,16.0,1.0
P10-TAG,G4,444,0,729.0,330.0,1.641891891891892,1.0,1716.0,529.0,0.0017599567,3.86,4,31.0,1685.0,12.0,517.0,18,223,0.0,531.0,0.0,1.0,0.0,1001.0,107.0,20.0,2.0,1.0,46.0,7.0,0.0,133.0,0.0,1.0,0.0,296.0,59.0,6.0,2.0,1.0,29.0,2.0
P10-TAG,pControl,59,0,15.0,7.0,0.2542372881355932,0.0,27.0,9.0,0.0002083912,0.46,0,6.0,21.0,5.0,4.0,1,0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0
