tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
DE3-TRP5-P0,pGR481-ctrl,759,Barcode10,Barcode1,759,1,0,0,0,0,0,0,0
DE3-TRP5-P0,D3-ctrl,462,Barcode7,Barcode10,462,0,0,0,0,1,0,0,0
DE3-TRP5-P0,611-ctrl,271,Barcode7,Barcode13,271,0,0,0,0,1,0,0,0
DE3-TRP5-P0,96-125-D3-ctrl,251,Barcode7,Barcode7,251,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-556-B,230,Barcode4,Barcode13,230,0,0,0,0,0,0,0,0
DE3-TRP5-P0,FA-H9,205,Barcode4,Barcode1,205,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-555-B,187,Barcode4,Barcode7,187,0,0,0,0,0,0,0,0
DE3-TRP5-P0,FA-E2,186,Barcode1,Barcode1,186,0,0,0,0,0,0,0,0
DE3-TRP5-P0,FA-G5,183,Barcode1,Barcode7,183,0,0,0,0,0,0,0,0
DE3-TRP5-P0,FA-G8,182,Barcode1,Barcode10,182,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-556-A,180,Barcode4,Barcode10,180,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-559-A,156,Barcode7,Barcode4,156,0,0,0,0,1,0,0,0
DE3-TRP5-P0,FA-H6,151,Barcode1,Barcode13,151,0,0,0,0,1,0,0,0
DE3-TRP5-P0,FA-F5,146,Barcode1,Barcode4,146,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-555-A,145,Barcode4,Barcode4,145,0,0,0,0,0,0,0,0
DE3-TRP5-P0,DS-557-B,139,Barcode7,Barcode1,139,0,0,0,0,0,0,0,0
DE3-TRP5-P0,fail-Barcode10,9,fail,Barcode10,9,0,8,1,0,0,0,0,0
DE3-TRP5-P0,fail-Barcode7,9,fail,Barcode7,9,0,8,0,1,0,0,0,0
DE3-TRP5-P0,Barcode10-fail,7,Barcode10,fail,7,0,0,0,0,0,6,1,0
DE3-TRP5-P0,fail-Barcode13,6,fail,Barcode13,6,0,5,0,1,0,0,0,0
DE3-TRP5-P0,Barcode7-fail,5,Barcode7,fail,5,0,0,0,0,0,4,1,0
DE3-TRP5-P0,fail-Barcode1,5,fail,Barcode1,5,0,5,0,0,0,0,0,0
DE3-TRP5-P0,Barcode1-fail,4,Barcode1,fail,4,0,0,0,0,0,4,0,0
DE3-TRP5-P0,Barcode4-fail,4,Barcode4,fail,4,0,0,0,0,0,4,0,0
DE3-TRP5-P0,fail-Barcode4,4,fail,Barcode4,4,0,4,0,0,0,0,0,0
DE3-TRP5-P0,Barcode2-Barcode13,1,Barcode2,Barcode13,1,1,0,0,0,0,0,0,0
DE3-TRP5-P0,Barcode6-Barcode10,1,Barcode6,Barcode10,1,1,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-G,216,Barcode4,Barcode16,216,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-D,196,Barcode4,Barcode13,196,0,0,0,0,0,0,0,0
DE3-TRP5-P10,pGR481-ctrl,194,Barcode10,Barcode7,194,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-556-E,143,Barcode7,Barcode16,143,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-E,120,Barcode1,Barcode16,120,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-557-B,95,Barcode10,Barcode1,95,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-557-C,92,Barcode7,Barcode4,92,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-556-A,90,Barcode7,Barcode10,90,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-556-C,87,Barcode7,Barcode13,87,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-H9,85,Barcode4,Barcode7,85,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-F5,83,Barcode4,Barcode1,83,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-E2,78,Barcode1,Barcode1,78,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-559-A,75,Barcode10,Barcode4,75,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-C,69,Barcode1,Barcode13,69,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-G8,63,Barcode4,Barcode4,63,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-556-B,58,Barcode7,Barcode1,58,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-557-E,58,Barcode7,Barcode7,58,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-G5,56,Barcode1,Barcode4,56,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-A,50,Barcode1,Barcode10,50,0,0,0,0,0,0,0,0
DE3-TRP5-P10,DS-555-B,37,Barcode4,Barcode10,37,0,0,0,0,0,0,0,0
DE3-TRP5-P10,FA-H6,6,Barcode1,Barcode7,6,0,0,0,0,0,0,0,0
DE3-TRP5-P10,fail-Barcode13,4,fail,Barcode13,4,0,4,0,0,0,0,0,0
DE3-TRP5-P10,Barcode1-fail,3,Barcode1,fail,3,0,0,0,0,0,3,0,0
DE3-TRP5-P10,fail-Barcode1,3,fail,Barcode1,3,0,3,0,0,0,0,0,0
DE3-TRP5-P10,fail-Barcode16,3,fail,Barcode16,3,0,3,0,0,0,0,0,0
DE3-TRP5-P10,fail-Barcode4,3,fail,Barcode4,3,0,3,0,0,0,0,0,0
DE3-TRP5-P10,Barcode10-fail,2,Barcode10,fail,2,0,0,0,0,0,2,0,0
DE3-TRP5-P10,Barcode4-fail,2,Barcode4,fail,2,0,0,0,0,0,2,0,0
