tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE3-TRP5-P0,611-ctrl,271,252,0,,,,,1362.0,260.0,0.0022917603,5.03,5,18.0,1344.0,10.0,250.0,760,62,1.0,191.0,0.0,0.0,0.0,799.0,323.0,12.0,0.0,4.0,31.0,1.0,1.0,63.0,0.0,0.0,0.0,138.0,29.0,4.0,0.0,4.0,20.0,1.0
DE3-TRP5-P0,96-125-D3-ctrl,251,229,0,,,,,1301.0,301.0,0.0023635508,5.18,5,25.0,1276.0,12.0,289.0,691,97,0.0,358.0,1.0,2.0,0.0,841.0,29.0,13.0,3.0,3.0,48.0,3.0,0.0,85.0,1.0,2.0,0.0,164.0,20.0,2.0,3.0,1.0,20.0,3.0
DE3-TRP5-P0,D3-ctrl,462,372,0,,,,,1584.0,366.0,0.0015634161,3.43,3,43.0,1541.0,12.0,354.0,1129,66,0.0,429.0,1.0,3.0,0.0,839.0,205.0,17.0,0.0,16.0,68.0,6.0,0.0,90.0,1.0,2.0,0.0,169.0,61.0,5.0,0.0,3.0,34.0,1.0
DE3-TRP5-P0,DS-555-A,145,144,0,,,,,1108.0,314.0,0.0034844411,7.64,8,154.0,954.0,32.0,282.0,559,143,6.0,117.0,0.0,9.0,2.0,305.0,340.0,11.0,120.0,6.0,192.0,0.0,6.0,56.0,0.0,9.0,1.0,70.0,95.0,4.0,6.0,6.0,61.0,0.0
DE3-TRP5-P0,DS-555-B,187,176,0,,,,,806.0,326.0,0.0019654174,4.31,4,44.0,762.0,37.0,289.0,541,56,5.0,107.0,0.0,13.0,2.0,332.0,205.0,10.0,6.0,4.0,118.0,4.0,4.0,56.0,0.0,13.0,2.0,79.0,88.0,4.0,6.0,4.0,66.0,4.0
DE3-TRP5-P0,DS-556-A,180,177,0,,,,,1232.0,321.0,0.0031210417,6.84,7,200.0,1032.0,42.0,279.0,541,41,4.0,111.0,0.0,16.0,1.0,395.0,205.0,13.0,149.0,11.0,321.0,6.0,4.0,49.0,0.0,12.0,1.0,57.0,109.0,4.0,7.0,8.0,64.0,6.0
DE3-TRP5-P0,DS-556-B,230,227,0,,,,,2287.0,608.0,0.0045341898,9.94,10,35.0,2252.0,26.0,582.0,833,27,4.0,961.0,1.0,2.0,1.0,864.0,268.0,6.0,11.0,3.0,159.0,7.0,4.0,146.0,1.0,2.0,1.0,244.0,125.0,3.0,9.0,3.0,67.0,3.0
DE3-TRP5-P0,DS-557-B,139,139,0,,,,,1546.0,458.0,0.0050717292,11.12,11,20.0,1526.0,15.0,443.0,424,5,1.0,357.0,0.0,3.0,0.0,840.0,255.0,6.0,4.0,2.0,74.0,4.0,1.0,107.0,0.0,3.0,0.0,191.0,99.0,1.0,4.0,2.0,46.0,4.0
DE3-TRP5-P0,DS-559-A,156,130,0,,,,,437.0,176.0,0.0012773744,2.8,3,16.0,421.0,7.0,169.0,400,27,0.0,163.0,0.0,0.0,0.0,210.0,29.0,8.0,2.0,3.0,19.0,3.0,0.0,35.0,0.0,0.0,0.0,95.0,23.0,3.0,2.0,1.0,16.0,1.0
DE3-TRP5-P0,FA-E2,186,182,0,,,,,729.0,397.0,0.0017872115,3.92,4,67.0,662.0,44.0,353.0,580,23,4.0,167.0,1.0,14.0,1.0,102.0,284.0,12.0,7.0,22.0,109.0,6.0,4.0,61.0,1.0,14.0,1.0,81.0,139.0,6.0,7.0,5.0,72.0,6.0
DE3-TRP5-P0,FA-F5,146,145,0,,,,,675.0,348.0,0.0021082023,4.62,4,57.0,618.0,51.0,297.0,458,9,8.0,127.0,0.0,13.0,0.0,79.0,286.0,9.0,13.0,9.0,126.0,5.0,8.0,64.0,0.0,10.0,0.0,53.0,115.0,6.0,13.0,9.0,65.0,5.0
DE3-TRP5-P0,FA-G5,183,178,0,,,,,875.0,383.0,0.0021803104,4.78,5,66.0,809.0,41.0,342.0,553,58,8.0,192.0,0.0,23.0,1.0,139.0,212.0,9.0,9.0,7.0,266.0,9.0,3.0,64.0,0.0,12.0,1.0,77.0,122.0,3.0,7.0,6.0,79.0,9.0
DE3-TRP5-P0,FA-G8,182,177,0,,,,,742.0,376.0,0.0018590621,4.08,4,62.0,680.0,44.0,332.0,555,64,4.0,118.0,12.0,10.0,1.0,91.0,201.0,6.0,16.0,6.0,270.0,7.0,4.0,65.0,2.0,9.0,1.0,62.0,128.0,4.0,14.0,5.0,77.0,5.0
DE3-TRP5-P0,FA-H6,151,151,0,,,,,762.0,365.0,0.0023011207,5.05,5,56.0,706.0,39.0,326.0,487,27,1.0,107.0,0.0,17.0,4.0,93.0,238.0,7.0,4.0,15.0,268.0,8.0,1.0,57.0,0.0,13.0,3.0,70.0,126.0,3.0,4.0,7.0,73.0,8.0
DE3-TRP5-P0,FA-H9,205,203,0,,,,,947.0,507.0,0.0021064807,4.62,4,131.0,816.0,81.0,426.0,645,305,8.0,156.0,2.0,35.0,2.0,133.0,336.0,6.0,24.0,11.0,191.0,43.0,7.0,70.0,2.0,26.0,2.0,93.0,161.0,3.0,24.0,9.0,102.0,8.0
