,generation,
sample_label,0,70
A,DE3-TRP5-P0_DS-555-B,DE3-TRP5-P10_DS-555-B
B,DE3-TRP5-P0_DS-559-A,DE3-TRP5-P10_DS-559-A
C,DE3-TRP5-P0_FA-E2,DE3-TRP5-P10_FA-E2
D,DE3-TRP5-P0_FA-G5,DE3-TRP5-P10_FA-G5
E,DE3-TRP5-P0_FA-G8,DE3-TRP5-P10_FA-G8
F,DE3-TRP5-P0_FA-H6,DE3-TRP5-P10_FA-H6
SgtKis,DE3-TRP5-P0_DS-555-A,DE3-TRP5-P10_DS-555-A
SgtKis,DE3-TRP5-P0_DS-556-A,DE3-TRP5-P10_DS-556-A
SgtKis,DE3-TRP5-P0_FA-F5,DE3-TRP5-P10_FA-F5
SgtKis,DE3-TRP5-P0_FA-H9,DE3-TRP5-P10_FA-H9
Trixy,DE3-TRP5-P0_DS-556-B,DE3-TRP5-P10_DS-556-B
