tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
Trixy-Sgk-Prog-P0P10-220413,GR562-ctrl,722,Barcode10,Barcode1,722,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,D3-1-P0,666,Barcode1,Barcode7,666,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,D3-2-P0,547,Barcode1,Barcode10,547,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,D3-2-P10,517,Barcode7,Barcode4,517,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trx-1-P10,481,Barcode4,Barcode7,481,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trx-1-P0,480,Barcode1,Barcode1,480,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-1-P0,403,Barcode4,Barcode1,403,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trx-2-P0,400,Barcode1,Barcode4,400,1,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trx-2-P10,342,Barcode4,Barcode10,342,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-2-P0,322,Barcode4,Barcode4,322,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,D3-1-P10,303,Barcode7,Barcode1,303,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-1-P10,279,Barcode7,Barcode7,279,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220413,trxSgk123-2-P10,266,Barcode7,Barcode10,266,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220413,fail-Barcode10,17,fail,Barcode10,17,0,16,0,1,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,fail-Barcode7,17,fail,Barcode7,17,0,16,1,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,fail-Barcode1,15,fail,Barcode1,15,0,14,0,1,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,Barcode1-fail,11,Barcode1,fail,11,0,0,0,0,0,10,1,0
Trixy-Sgk-Prog-P0P10-220413,Barcode7-fail,11,Barcode7,fail,11,0,0,0,0,0,11,0,0
Trixy-Sgk-Prog-P0P10-220413,Barcode4-fail,10,Barcode4,fail,10,0,0,0,0,0,10,0,0
Trixy-Sgk-Prog-P0P10-220413,fail-Barcode4,10,fail,Barcode4,10,0,10,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220413,Barcode10-fail,5,Barcode10,fail,5,0,0,0,0,0,5,0,0
Trixy-Sgk-Prog-P0P10-220413,Barcode10-Barcode10,1,Barcode10,Barcode10,1,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk23-1-P10,2330,Barcode16,Barcode16,2330,4,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk123-3-P10,2183,Barcode16,Barcode7,2183,2,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk1-2-P0,1622,Barcode4,Barcode7,1622,0,0,0,0,0,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-1-P0,1584,Barcode7,Barcode1,1584,1,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,GR562-ctrl,1431,Barcode19,Barcode1,1431,0,0,0,0,2,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-2-P0,1413,Barcode7,Barcode4,1413,0,0,0,0,1,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk12-1-P10,1396,Barcode16,Barcode1,1396,1,0,0,0,2,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-3-P10,1365,Barcode13,Barcode13,1365,1,0,0,0,10,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk2-3-P0,1355,Barcode4,Barcode13,1355,0,0,0,0,13,0,0,0
Trixy-Sgk-Prog-P0P10-220422,trxSgk13-1-P0,1253,Barcode4,Barcode16,1253,0,0,0,0,0,0,0,0
