tag,output_file_barcodes,demuxed_count,fwd,rvs,barcodes_count,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification
DE5,560C-g128,1245,bc17,bc14,1245,0,0,0,0,0,0,0,0
DE5,564C-g128,1147,bc17,bc16,1147,0,0,0,0,0,0,0,0
DE5,594C-g128,1038,bc17,bc18,1038,0,0,0,0,0,0,0,0
DE5,563C-g128,1033,bc17,bc15,1033,0,0,0,0,0,0,0,0
DE5,560D-g0,1011,bc7,bc2,1011,0,0,0,0,0,0,0,0
DE5,560B-g128,971,bc15,bc14,971,0,0,0,0,0,0,0,0
DE5,560D-g128,970,bc19,bc14,970,0,0,0,0,0,0,0,0
DE5,520B-g0,941,bc3,bc1,941,0,0,0,0,0,0,0,0
DE5,617C-g40,941,bc18,bc7,941,0,0,0,0,0,0,0,0
DE5,617B-g0,886,bc4,bc7,886,0,0,0,0,0,0,0,0
DE5,520D-g72,857,bc7,bc13,857,0,0,0,0,0,0,0,0
DE5,564D-g128,853,bc19,bc16,853,0,0,0,0,0,0,0,0
DE5,560C-g40,818,bc17,bc2,818,0,0,0,0,0,0,0,0
DE5,560C-g0,798,bc5,bc2,798,0,0,0,0,0,0,0,0
DE5,613B-g128,793,bc16,bc14,793,0,0,0,0,0,0,0,0
DE5,620A-g104,780,bc22,bc17,780,0,0,0,0,0,0,0,0
DE5,560B-g40,777,bc15,bc2,777,0,0,0,0,0,0,0,0
DE5,520D-g0,763,bc7,bc1,763,0,0,0,0,0,0,0,0
DE5,520C-g32,761,bc17,bc1,761,0,0,0,0,0,0,0,0
DE5,611C-g128,759,bc21,bc15,759,0,0,0,0,0,0,0,0
DE5,560D-g40,743,bc19,bc2,743,0,0,0,0,0,0,0,0
DE5,617A-g40,734,bc14,bc7,734,0,0,0,0,0,0,0,0
DE5,617C-g0,731,bc6,bc7,731,0,0,0,0,0,0,0,0
DE5,618D-g0,717,bc8,bc8,717,0,0,0,0,0,0,0,0
DE5,520A-g0,700,bc1,bc1,700,0,0,0,0,0,0,0,0
DE5,617D-g0,700,bc8,bc7,700,0,0,0,0,0,0,0,0
DE5,520C-g0,673,bc5,bc1,673,0,0,0,0,0,0,0,0
DE5,560C-g80,667,bc5,bc14,667,0,0,0,0,0,0,0,0
DE5,617B-g40,653,bc16,bc7,653,0,0,0,0,0,0,0,0
DE5,560A-g0,636,bc1,bc2,636,0,0,0,0,0,0,0,0
DE5,560B-g0,623,bc3,bc2,623,0,0,0,0,0,0,0,0
DE5,594B-g128,621,bc15,bc18,621,0,0,0,0,0,0,0,0
DE5,618A-g40,619,bc14,bc8,619,0,0,0,0,0,0,0,0
DE5,617A-g128,617,bc14,bc19,617,0,0,0,0,0,0,0,0
DE5,618A-g0,613,bc2,bc8,613,0,0,0,0,0,0,0,0
DE5,594C-g40,603,bc17,bc6,603,0,0,0,0,0,0,0,0
DE5,618D-g40,598,bc20,bc8,598,0,0,0,0,0,0,0,0
DE5,620A-g56,591,bc10,bc17,591,0,0,0,0,0,0,0,0
DE5,617A-g0,585,bc2,bc7,585,0,0,0,0,0,0,0,0
DE5,563B-g128,562,bc15,bc15,562,0,0,0,0,0,0,0,0
DE5,618B-g40,555,bc16,bc8,555,0,0,0,0,0,0,0,0
DE5,619D-g64,544,bc10,bc16,544,0,0,0,0,0,0,0,0
DE5,564B-g128,541,bc15,bc16,541,0,0,0,0,0,0,0,0
DE5,594D-g128,539,bc19,bc18,539,0,0,0,0,0,0,0,0
DE5,614D-g40,526,bc20,bc3,526,0,0,0,0,0,0,0,0
DE5,617D-g40,516,bc20,bc7,516,0,0,0,0,0,0,0,0
DE5,560B-g80,507,bc3,bc14,507,0,0,0,0,0,0,0,0
DE5,614A-g40,495,bc14,bc3,495,0,0,0,0,0,0,0,0
DE5,564C-g40,488,bc17,bc4,488,0,0,0,0,0,0,0,0
DE5,614B-g40,486,bc16,bc3,486,0,0,0,0,0,0,0,0
DE5,617B-g80,483,bc4,bc19,483,0,0,0,0,0,0,0,0
DE5,618B-g80,482,bc4,bc20,482,0,0,0,0,0,0,0,0
DE5,615B-g128,480,bc16,bc16,480,0,0,0,0,0,0,0,0
DE5,618B-g0,474,bc4,bc8,474,0,0,0,0,0,0,0,0
DE5,564D-g40,471,bc19,bc4,471,0,0,0,0,0,0,0,0
DE5,bc1-bc5,471,bc1,bc5,471,0,0,0,0,0,0,0,0
DE5,596B-g128,464,bc15,bc20,464,0,0,0,0,0,0,0,0
DE5,613D-g0,464,bc8,bc2,464,0,0,0,0,0,0,0,0
DE5,613B-g80,461,bc4,bc14,461,0,0,0,0,0,0,0,0
DE5,616D-g40,459,bc20,bc6,459,0,0,0,0,0,0,0,0
DE5,613D-g40,457,bc20,bc2,457,0,0,0,0,0,0,0,0
DE5,619B-g64,456,bc10,bc14,456,0,0,0,0,0,0,0,0
DE5,611D-g128,446,bc21,bc16,446,0,0,0,0,0,0,0,0
DE5,614C-g40,445,bc18,bc3,445,0,0,0,0,0,0,0,0
DE5,618A-g80,443,bc2,bc20,443,0,0,0,0,0,0,0,0
DE5,613B-g40,440,bc16,bc2,440,0,0,0,0,0,0,0,0
DE5,520B-g72,439,bc3,bc13,439,0,0,0,0,0,0,0,0
DE5,613A-g40,439,bc14,bc2,439,0,0,0,0,0,0,0,0
DE5,595D-g128,436,bc19,bc19,436,0,0,0,0,0,0,0,0
DE5,615A-g40,436,bc14,bc4,436,0,0,0,0,0,0,0,0
DE5,616B-g80,434,bc4,bc18,434,0,0,0,0,0,0,0,0
DE5,612C-g0,432,bc6,bc1,432,0,0,0,0,0,0,0,0
DE5,613C-g80,423,bc6,bc14,423,0,0,0,0,0,0,0,0
DE5,563C-g0,422,bc5,bc3,422,0,0,0,0,0,0,0,0
DE5,618D-g80,418,bc8,bc20,418,0,0,0,0,0,0,0,0
DE5,595C-g128,415,bc17,bc19,415,0,0,0,0,0,0,0,0
DE5,563B-g40,410,bc15,bc3,410,0,0,0,0,0,0,0,0
DE5,612A-g0,406,bc2,bc1,406,0,0,0,0,0,0,0,0
DE5,563D-g128,402,bc19,bc15,402,0,0,0,0,0,0,0,0
