tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
DE5,520A-g0,700,542,0,,,,,2063.0,404.0,0.0015701347,2.95,2,519.0,1544.0,70.0,334.0,78,15867,2.0,308.0,2.0,1.0,473.0,188.0,138.0,11.0,8.0,19.0,910.0,3.0,2.0,176.0,2.0,1.0,37.0,107.0,15.0,9.0,4.0,12.0,36.0,3.0
DE5,520A-g32,3,3,0,,,,,14.0,10.0,0.0024862369,4.67,6,0.0,14.0,0.0,10.0,1,84,0.0,6.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0
DE5,520B-g0,941,698,0,,,,,2675.0,416.0,0.0015145021,2.84,2,386.0,2289.0,73.0,343.0,84,21662,4.0,668.0,1.0,4.0,326.0,184.0,239.0,11.0,19.0,19.0,1198.0,2.0,3.0,172.0,1.0,4.0,42.0,103.0,25.0,8.0,7.0,6.0,43.0,2.0
DE5,520B-g32,379,365,0,,,,,1501.0,400.0,0.0021099745,3.96,3,205.0,1296.0,59.0,341.0,43,11339,3.0,512.0,0.0,2.0,164.0,195.0,101.0,14.0,8.0,9.0,488.0,5.0,3.0,184.0,0.0,2.0,34.0,111.0,19.0,6.0,4.0,6.0,27.0,4.0
DE5,520B-g72,439,434,0,,,,,2329.0,445.0,0.002826446,5.31,5,96.0,2233.0,41.0,404.0,58,14607,0.0,1099.0,0.0,2.0,63.0,380.0,193.0,5.0,8.0,15.0,561.0,3.0,0.0,227.0,0.0,1.0,20.0,131.0,21.0,5.0,6.0,7.0,25.0,2.0
DE5,520C-g0,673,581,0,,,,,2162.0,423.0,0.0017114978,3.21,2,584.0,1578.0,110.0,313.0,322,17057,8.0,276.0,5.0,7.0,477.0,212.0,217.0,32.0,11.0,29.0,873.0,15.0,8.0,147.0,5.0,7.0,42.0,91.0,34.0,24.0,5.0,11.0,41.0,8.0
DE5,520C-g32,761,729,0,,,,,3203.0,556.0,0.0022423738,4.21,4,410.0,2793.0,82.0,474.0,52,22388,4.0,971.0,0.0,4.0,316.0,560.0,230.0,15.0,15.0,20.0,1032.0,36.0,4.0,242.0,0.0,4.0,43.0,163.0,26.0,13.0,4.0,9.0,43.0,5.0
DE5,520C-g72,163,163,0,,,,,852.0,309.0,0.0027847597,5.23,5,40.0,812.0,24.0,285.0,18,5863,3.0,331.0,0.0,1.0,5.0,177.0,61.0,7.0,3.0,7.0,243.0,14.0,3.0,148.0,0.0,1.0,5.0,84.0,15.0,6.0,2.0,3.0,38.0,4.0
DE5,520D-g0,763,697,0,,,,,3285.0,525.0,0.0022937525,4.31,3,1722.0,1563.0,230.0,295.0,893,20283,73.0,89.0,24.0,32.0,1424.0,78.0,293.0,105.0,8.0,46.0,1103.0,10.0,28.0,63.0,10.0,28.0,60.0,46.0,82.0,61.0,6.0,27.0,104.0,10.0
DE5,520D-g72,857,832,0,,,,,3828.0,600.0,0.0023797253,4.47,4,504.0,3324.0,84.0,516.0,18,27088,1.0,1076.0,1.0,2.0,441.0,708.0,437.0,12.0,13.0,27.0,1103.0,7.0,1.0,272.0,1.0,2.0,48.0,173.0,27.0,5.0,7.0,13.0,44.0,7.0
DE5,560A-g0,636,544,0,,,,,2015.0,414.0,0.001687927,3.17,3,283.0,1732.0,64.0,350.0,68,16437,2.0,504.0,2.0,2.0,237.0,255.0,145.0,17.0,6.0,13.0,828.0,4.0,2.0,191.0,2.0,2.0,33.0,106.0,24.0,10.0,4.0,7.0,29.0,4.0
DE5,560A-g40,1,1,0,,,,,8.0,8.0,0.0042621204,8.0,8,2.0,6.0,2.0,6.0,0,26,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0
DE5,560B-g0,623,467,0,,,,,1640.0,393.0,0.0014024634,2.63,2,237.0,1403.0,63.0,330.0,37,14386,3.0,274.0,0.0,0.0,187.0,167.0,175.0,11.0,12.0,19.0,787.0,5.0,3.0,182.0,0.0,0.0,35.0,83.0,26.0,6.0,7.0,7.0,39.0,5.0
DE5,560B-g128,971,971,0,,,,,6161.0,1096.0,0.003380397,6.35,6,404.0,5757.0,118.0,978.0,208,32021,8.0,2479.0,4.0,3.0,276.0,1350.0,468.0,14.0,27.0,33.0,1460.0,39.0,7.0,460.0,3.0,3.0,36.0,339.0,68.0,13.0,18.0,11.0,111.0,27.0
DE5,560B-g40,777,736,0,,,,,2886.0,706.0,0.0019788416,3.71,3,300.0,2586.0,87.0,619.0,83,23185,7.0,832.0,3.0,8.0,222.0,475.0,262.0,13.0,19.0,17.0,1017.0,11.0,7.0,328.0,2.0,6.0,32.0,195.0,41.0,9.0,12.0,8.0,55.0,11.0
DE5,560B-g80,507,507,0,,,,,2468.0,761.0,0.0025934204,4.87,5,136.0,2332.0,82.0,679.0,78,17175,5.0,891.0,7.0,4.0,69.0,456.0,233.0,11.0,10.0,14.0,752.0,16.0,5.0,347.0,7.0,4.0,31.0,214.0,40.0,7.0,8.0,7.0,78.0,13.0
DE5,560C-g0,798,686,0,,,,,2749.0,491.0,0.0018353022,3.44,3,806.0,1943.0,71.0,420.0,35,21253,1.0,441.0,2.0,4.0,269.0,236.0,222.0,14.0,15.0,24.0,1044.0,477.0,1.0,213.0,1.0,2.0,34.0,140.0,21.0,8.0,9.0,10.0,46.0,6.0
DE5,560C-g128,1245,1245,0,,,,,8760.0,1186.0,0.0037486119,7.04,7,887.0,7873.0,137.0,1049.0,179,42515,11.0,3663.0,7.0,9.0,117.0,1716.0,594.0,34.0,32.0,45.0,1900.0,632.0,9.0,481.0,6.0,9.0,23.0,369.0,72.0,23.0,17.0,18.0,127.0,32.0
DE5,560C-g40,818,799,0,,,,,3822.0,780.0,0.0024892763,4.67,4,875.0,2947.0,82.0,698.0,81,24921,6.0,1074.0,3.0,3.0,278.0,471.0,283.0,20.0,22.0,30.0,1119.0,513.0,5.0,368.0,3.0,1.0,29.0,222.0,34.0,10.0,13.0,10.0,74.0,11.0
DE5,560C-g80,667,665,0,,,,,3891.0,832.0,0.0031079293,5.83,6,678.0,3213.0,75.0,757.0,79,21030,4.0,1343.0,2.0,1.0,198.0,587.0,321.0,19.0,13.0,31.0,962.0,410.0,4.0,401.0,2.0,1.0,25.0,249.0,43.0,9.0,6.0,11.0,64.0,17.0
DE5,560D-g0,1011,842,0,,,,,3370.0,562.0,0.0017758835,3.33,3,362.0,3008.0,82.0,480.0,94,25663,3.0,1098.0,4.0,4.0,293.0,296.0,304.0,13.0,12.0,24.0,1310.0,9.0,3.0,255.0,4.0,3.0,42.0,148.0,25.0,8.0,7.0,6.0,52.0,9.0
DE5,560D-g128,970,970,0,,,,,6573.0,1019.0,0.0036101698,6.78,7,155.0,6418.0,93.0,926.0,145,37916,8.0,3232.0,3.0,0.0,9.0,1351.0,382.0,26.0,30.0,34.0,1453.0,45.0,6.0,441.0,1.0,0.0,9.0,333.0,55.0,12.0,17.0,11.0,97.0,37.0
DE5,560D-g40,743,734,0,,,,,3561.0,724.0,0.0025534002,4.79,4,413.0,3148.0,88.0,636.0,118,21881,2.0,1389.0,5.0,1.0,340.0,466.0,301.0,13.0,10.0,26.0,992.0,16.0,2.0,337.0,4.0,1.0,40.0,206.0,36.0,10.0,8.0,8.0,57.0,15.0
DE5,560D-g80,391,389,0,,,,,2273.0,661.0,0.0030971227,5.81,5,176.0,2097.0,61.0,600.0,82,11802,2.0,999.0,1.0,1.0,128.0,349.0,192.0,10.0,10.0,15.0,557.0,9.0,2.0,322.0,1.0,1.0,26.0,189.0,33.0,8.0,7.0,7.0,56.0,9.0
