,barcode_types
barcodeGroup,fwd,rvs
520A-g32,bc1,bc1
520A-g120,bc13,bc1
612A-g40,bc2,bc1
612A-g128,bc14,bc1
520B-g32,bc3,bc1
520B-g120,bc15,bc1
612B-g40,bc4,bc1
612B-g128,bc16,bc1
520C-g32,bc5,bc1
520C-g120,bc17,bc1
612C-g40,bc6,bc1
612C-g128,bc18,bc1
520D-g32,bc7,bc1
520D-g120,bc19,bc1
612D-g40,bc8,bc1
612D-g120,bc20,bc1
611A-g40,bc9,bc1
611A-g128,bc21,bc1
619A-g32,bc10,bc1
619A-g112,bc22,bc1
560A-g40,bc1,bc2
560A-g128,bc13,bc2
613A-g40,bc2,bc2
613A-g128,bc14,bc2
560B-g40,bc3,bc2
560B-g128,bc15,bc2
613B-g40,bc4,bc2
613B-g128,bc16,bc2
560C-g40,bc5,bc2
560C-g128,bc17,bc2
613C-g40,bc6,bc2
613C-g128,bc18,bc2
560D-g40,bc7,bc2
560D-g128,bc19,bc2
613D-g40,bc8,bc2
613D-g120,bc20,bc2
611B-g40,bc9,bc2
611B-g128,bc21,bc2
619B-g32,bc10,bc2
619B-g112,bc22,bc2
563A-g40,bc1,bc3
563A-g128,bc13,bc3
614A-g40,bc2,bc3
614A-g128,bc14,bc3
563B-g40,bc3,bc3
563B-g128,bc15,bc3
614B-g40,bc4,bc3
614B-g128,bc16,bc3
563C-g40,bc5,bc3
563C-g128,bc17,bc3
614C-g40,bc6,bc3
614C-g128,bc18,bc3
563D-g40,bc7,bc3
563D-g128,bc19,bc3
614D-g40,bc8,bc3
614D-g120,bc20,bc3
611C-g40,bc9,bc3
611C-g128,bc21,bc3
619C-g32,bc10,bc3
619C-g112,bc22,bc3
564A-g40,bc1,bc4
564A-g128,bc13,bc4
615A-g40,bc2,bc4
615A-g128,bc14,bc4
564B-g40,bc3,bc4
564B-g128,bc15,bc4
615B-g40,bc4,bc4
615B-g128,bc16,bc4
564C-g40,bc5,bc4
564C-g128,bc17,bc4
615C-g40,bc6,bc4
615C-g128,bc18,bc4
564D-g40,bc7,bc4
564D-g128,bc19,bc4
615D-g40,bc8,bc4
615D-g120,bc20,bc4
611D-g40,bc9,bc4
611D-g128,bc21,bc4
619D-g32,bc10,bc4
619D-g112,bc22,bc4
620A-g24,bc10,bc5
620A-g104,bc22,bc5
594A-g40,bc1,bc6
594A-g128,bc13,bc6
616A-g40,bc2,bc6
616A-g128,bc14,bc6
594B-g40,bc3,bc6
594B-g128,bc15,bc6
616B-g40,bc4,bc6
616B-g128,bc16,bc6
594C-g40,bc5,bc6
594C-g128,bc17,bc6
616C-g40,bc6,bc6
616C-g128,bc18,bc6
594D-g40,bc7,bc6
594D-g128,bc19,bc6
616D-g40,bc8,bc6
616D-g128,bc20,bc6
620B-g24,bc10,bc6
620B-g104,bc22,bc6
595A-g40,bc1,bc7
595A-g128,bc13,bc7
617A-g40,bc2,bc7
617A-g128,bc14,bc7
595B-g40,bc3,bc7
595B-g128,bc15,bc7
617B-g40,bc4,bc7
617B-g128,bc16,bc7
595C-g40,bc5,bc7
595C-g128,bc17,bc7
617C-g40,bc6,bc7
617C-g128,bc18,bc7
595D-g40,bc7,bc7
595D-g128,bc19,bc7
617D-g40,bc8,bc7
617D-g128,bc20,bc7
620C-g24,bc10,bc7
620C-g104,bc22,bc7
596A-g40,bc1,bc8
596A-g128,bc13,bc8
618A-g40,bc2,bc8
618A-g128,bc14,bc8
596B-g40,bc3,bc8
596B-g128,bc15,bc8
618B-g40,bc4,bc8
618B-g128,bc16,bc8
596C-g40,bc5,bc8
596C-g128,bc17,bc8
618C-g40,bc6,bc8
618C-g128,bc18,bc8
596D-g40,bc7,bc8
596D-g128,bc19,bc8
618D-g40,bc8,bc8
618D-g128,bc20,bc8
620D-g24,bc10,bc8
620D-g104,bc22,bc8
