,barcode_types
barcodeGroup,fwd,rvs
520A-g0,bc1,bc1
520A-g32,bc13,bc1
520A-g72,bc1,bc13
520A-g120,bc13,bc13
612A-g0,bc2,bc1
612A-g40,bc14,bc1
612A-g80,bc2,bc13
612A-g128,bc14,bc13
520B-g0,bc3,bc1
520B-g32,bc15,bc1
520B-g72,bc3,bc13
520B-g120,bc15,bc13
612B-g0,bc4,bc1
612B-g40,bc16,bc1
612B-g80,bc4,bc13
612B-g128,bc16,bc13
520C-g0,bc5,bc1
520C-g32,bc17,bc1
520C-g72,bc5,bc13
520C-g120,bc17,bc13
612C-g0,bc6,bc1
612C-g40,bc18,bc1
612C-g80,bc6,bc13
612C-g128,bc18,bc13
520D-g0,bc7,bc1
520D-g32,bc19,bc1
520D-g72,bc7,bc13
520D-g120,bc19,bc13
612D-g0,bc8,bc1
612D-g40,bc20,bc1
612D-g72,bc8,bc13
612D-g120,bc20,bc13
611A-g0,bc9,bc1
611A-g40,bc21,bc1
611A-g80,bc9,bc13
611A-g128,bc21,bc13
619A-g0,bc10,bc1
619A-g32,bc22,bc1
619A-g64,bc10,bc13
619A-g112,bc22,bc13
560A-g0,bc1,bc2
560A-g40,bc13,bc2
560A-g80,bc1,bc14
560A-g128,bc13,bc14
613A-g0,bc2,bc2
613A-g40,bc14,bc2
613A-g80,bc2,bc14
613A-g128,bc14,bc14
560B-g0,bc3,bc2
560B-g40,bc15,bc2
560B-g80,bc3,bc14
560B-g128,bc15,bc14
613B-g0,bc4,bc2
613B-g40,bc16,bc2
613B-g80,bc4,bc14
613B-g128,bc16,bc14
560C-g0,bc5,bc2
560C-g40,bc17,bc2
560C-g80,bc5,bc14
560C-g128,bc17,bc14
613C-g0,bc6,bc2
613C-g40,bc18,bc2
613C-g80,bc6,bc14
613C-g128,bc18,bc14
560D-g0,bc7,bc2
560D-g40,bc19,bc2
560D-g80,bc7,bc14
560D-g128,bc19,bc14
613D-g0,bc8,bc2
613D-g40,bc20,bc2
613D-g72,bc8,bc14
613D-g120,bc20,bc14
611B-g0,bc9,bc2
611B-g40,bc21,bc2
611B-g80,bc9,bc14
611B-g128,bc21,bc14
619B-g0,bc10,bc2
619B-g32,bc22,bc2
619B-g64,bc10,bc14
619B-g112,bc22,bc14
563A-g0,bc1,bc3
563A-g40,bc13,bc3
563A-g80,bc1,bc15
563A-g128,bc13,bc15
614A-g0,bc2,bc3
614A-g40,bc14,bc3
614A-g80,bc2,bc15
614A-g128,bc14,bc15
563B-g0,bc3,bc3
563B-g40,bc15,bc3
563B-g80,bc3,bc15
563B-g128,bc15,bc15
614B-g0,bc4,bc3
614B-g40,bc16,bc3
614B-g80,bc4,bc15
614B-g128,bc16,bc15
563C-g0,bc5,bc3
563C-g40,bc17,bc3
563C-g80,bc5,bc15
563C-g128,bc17,bc15
614C-g0,bc6,bc3
614C-g40,bc18,bc3
614C-g80,bc6,bc15
614C-g128,bc18,bc15
563D-g0,bc7,bc3
563D-g40,bc19,bc3
563D-g80,bc7,bc15
563D-g128,bc19,bc15
614D-g0,bc8,bc3
614D-g40,bc20,bc3
614D-g72,bc8,bc15
614D-g120,bc20,bc15
611C-g0,bc9,bc3
611C-g40,bc21,bc3
611C-g80,bc9,bc15
611C-g128,bc21,bc15
619C-g0,bc10,bc3
619C-g32,bc22,bc3
619C-g64,bc10,bc15
619C-g112,bc22,bc15
564A-g0,bc1,bc4
564A-g40,bc13,bc4
564A-g80,bc1,bc16
564A-g128,bc13,bc16
615A-g0,bc2,bc4
615A-g40,bc14,bc4
615A-g80,bc2,bc16
615A-g128,bc14,bc16
564B-g0,bc3,bc4
564B-g40,bc15,bc4
564B-g80,bc3,bc16
564B-g128,bc15,bc16
615B-g0,bc4,bc4
615B-g40,bc16,bc4
615B-g80,bc4,bc16
615B-g128,bc16,bc16
564C-g0,bc5,bc4
564C-g40,bc17,bc4
564C-g80,bc5,bc16
564C-g128,bc17,bc16
615C-g0,bc6,bc4
615C-g40,bc18,bc4
615C-g80,bc6,bc16
615C-g128,bc18,bc16
564D-g0,bc7,bc4
564D-g40,bc19,bc4
564D-g80,bc7,bc16
564D-g128,bc19,bc16
615D-g0,bc8,bc4
615D-g40,bc20,bc4
615D-g72,bc8,bc16
615D-g120,bc20,bc16
