,barcode_types
barcodeGroup,fwd,rvs
520A-g32,bc1,bc13
520A-g72,bc2,bc13
520A-g120,bc3,bc13
619A-g112,bc4,bc13
612A-g128,bc5,bc13
520C-g0,bc6,bc13
618C-g80,bc7,bc13
560A-g40,bc1,bc14
560A-g80,bc2,bc14
560A-g128,bc3,bc14
619B-g112,bc4,bc14
520B-g120,bc5,bc14
563B-g0,bc6,bc14
596D-g80,bc7,bc14
563A-g40,bc1,bc15
563A-g80,bc2,bc15
563A-g128,bc3,bc15
619C-g112,bc4,bc15
612B-g128,bc5,bc15
594B-g0,bc6,bc15
620C-g56,bc7,bc15
564A-g40,bc1,bc16
564A-g80,bc2,bc16
564A-g128,bc3,bc16
619D-g112,bc4,bc16
520C-g120,bc5,bc16
594D-g0,bc6,bc16
618B-g128,bc1,bc17
596C-g128,bc2,bc17
618C-g128,bc3,bc17
620A-g104,bc4,bc17
612C-g128,bc5,bc17
595C-g0,bc6,bc17
520D-g32,bc7,bc17
594A-g40,bc1,bc18
594A-g80,bc2,bc18
594A-g128,bc3,bc18
620B-g104,bc4,bc18
520D-g120,bc5,bc18
595D-g0,bc6,bc18
564B-g40,bc7,bc18
595A-g40,bc1,bc19
595A-g80,bc2,bc19
595A-g128,bc3,bc19
620C-g104,bc4,bc19
612D-g120,bc5,bc19
618A-g128,bc6,bc19
594D-g40,bc7,bc19
596A-g40,bc1,bc20
596A-g80,bc2,bc20
596A-g128,bc3,bc20
620D-g104,bc4,bc20
611A-g128,bc5,bc20
618D-g128,bc6,bc20
596D-g40,bc7,bc20
