,generations,,,
barcodeGroup,0,24,32,40
0-520-611,DE5_520A-g0,,DE5_520A-g32,
3-612-RTRTSY,DE5_612A-g0,,,DE5_612A-g40
0-520-611,DE5_520B-g0,,DE5_520B-g32,
3-612-RTRTSY,DE5_612B-g0,,,DE5_612B-g40
0-520-611,DE5_520C-g0,,DE5_520C-g32,
3-612-RTRTSY,DE5_612C-g0,,,DE5_612C-g40
0-520-611,DE5_520D-g0,,DE5_520D-g32,
3-612-RTRTSY,DE5_612D-g0,,,DE5_612D-g40
3-611-DRTRIXY,DE5_611A-g0,,,DE5_611A-g40
4-619-SFSGI+TrixyDks,DE5_619A-g0,,DE5_619A-g32,
1-560-611+P680T,DE5_560A-g0,,,DE5_560A-g40
3-613-RTRSSY,DE5_613A-g0,,,DE5_613A-g40
1-560-611+P680T,DE5_560B-g0,,,DE5_560B-g40
3-613-RTRSSY,DE5_613B-g0,,,DE5_613B-g40
1-560-611+P680T,DE5_560C-g0,,,DE5_560C-g40
3-613-RTRSSY,DE5_613C-g0,,,DE5_613C-g40
1-560-611+P680T,DE5_560D-g0,,,DE5_560D-g40
3-613-RTRSSY,DE5_613D-g0,,,DE5_613D-g40
3-611-DRTRIXY,DE5_611B-g0,,,DE5_611B-g40
4-619-SFSGI+TrixyDks,DE5_619B-g0,,DE5_619B-g32,
2-563-SgtKis,DE5_563A-g0,,,DE5_563A-g40
3-614-TrixyDks,DE5_614A-g0,,,DE5_614A-g40
2-563-SgtKis,DE5_563B-g0,,,DE5_563B-g40
3-614-TrixyDks,DE5_614B-g0,,,DE5_614B-g40
2-563-SgtKis,DE5_563C-g0,,,DE5_563C-g40
3-614-TrixyDks,DE5_614C-g0,,,DE5_614C-g40
2-563-SgtKis,DE5_563D-g0,,,DE5_563D-g40
3-614-TrixyDks,DE5_614D-g0,,,DE5_614D-g40
3-611-DRTRIXY,DE5_611C-g0,,,DE5_611C-g40
4-619-SFSGI+TrixyDks,DE5_619C-g0,,DE5_619C-g32,
2-564-rTrixy,DE5_564A-g0,,,DE5_564A-g40
3-615-TrixyILV,DE5_615A-g0,,,DE5_615A-g40
2-564-rTrixy,DE5_564B-g0,,,DE5_564B-g40
3-615-TrixyILV,DE5_615B-g0,,,DE5_615B-g40
2-564-rTrixy,DE5_564C-g0,,,DE5_564C-g40
3-615-TrixyILV,DE5_615C-g0,,,DE5_615C-g40
2-564-rTrixy,DE5_564D-g0,,,DE5_564D-g40
3-615-TrixyILV,DE5_615D-g0,,,DE5_615D-g40
3-611-DRTRIXY,DE5_611D-g0,,,DE5_611D-g40
4-619-SFSGI+TrixyDks,DE5_619D-g0,,DE5_619D-g32,
4-620-SFSGI+TrixyILV,DE5_620A-g0,DE5_620A-g24,,
2.5-594-SG+RTRKSY,DE5_594A-g0,,,DE5_594A-g40
4-616-SFSGI+DRTRIXY,DE5_616A-g0,,,DE5_616A-g40
2.5-594-SG+RTRKSY,DE5_594B-g0,,,DE5_594B-g40
4-616-SFSGI+DRTRIXY,DE5_616B-g0,,,DE5_616B-g40
2.5-594-SG+RTRKSY,DE5_594C-g0,,,DE5_594C-g40
4-616-SFSGI+DRTRIXY,DE5_616C-g0,,,DE5_616C-g40
2.5-594-SG+RTRKSY,DE5_594D-g0,,,DE5_594D-g40
4-616-SFSGI+DRTRIXY,DE5_616D-g0,,,DE5_616D-g40
4-620-SFSGI+TrixyILV,DE5_620B-g0,DE5_620B-g24,,
2.5-595-SGI+RTRKSY,DE5_595A-g0,,,DE5_595A-g40
4-617-SFSGI+RTRTSY,DE5_617A-g0,,,DE5_617A-g40
2.5-595-SGI+RTRKSY,DE5_595B-g0,,,DE5_595B-g40
4-617-SFSGI+RTRTSY,DE5_617B-g0,,,DE5_617B-g40
2.5-595-SGI+RTRKSY,DE5_595C-g0,,,DE5_595C-g40
4-617-SFSGI+RTRTSY,DE5_617C-g0,,,DE5_617C-g40
2.5-595-SGI+RTRKSY,DE5_595D-g0,,,DE5_595D-g40
4-617-SFSGI+RTRTSY,DE5_617D-g0,,,DE5_617D-g40
4-620-SFSGI+TrixyILV,DE5_620C-g0,DE5_620C-g24,,
2.5-596-SFSGI+RTRKSY,DE5_596A-g0,,,DE5_596A-g40
4-618-SFSGI+DRTRIXY,DE5_618A-g0,,,DE5_618A-g40
2.5-596-SFSGI+RTRKSY,DE5_596B-g0,,,DE5_596B-g40
4-618-SFSGI+DRTRIXY,DE5_618B-g0,,,DE5_618B-g40
2.5-596-SFSGI+RTRKSY,DE5_596C-g0,,,DE5_596C-g40
4-618-SFSGI+DRTRIXY,DE5_618C-g0,,,DE5_618C-g40
2.5-596-SFSGI+RTRKSY,DE5_596D-g0,,,DE5_596D-g40
4-618-SFSGI+DRTRIXY,DE5_618D-g0,,,DE5_618D-g40
4-620-SFSGI+TrixyILV,DE5_620D-g0,DE5_620D-g24,,
