tag,output_file_barcodes,demuxed_count,rvs,fwd,lineage,barcodes_count,rvs:not_exact_match,rvs_failed:context_not_present_in_reference_sequence,rvs_failed:barcode_not_in_fasta,rvs_failed:low_confidence_barcode_identification,fwd:not_exact_match,fwd_failed:context_not_present_in_reference_sequence,fwd_failed:barcode_not_in_fasta,fwd_failed:low_confidence_barcode_identification,lineage:not_exact_match,lineage_failed:context_not_present_in_reference_sequence,lineage_failed:barcode_not_in_fasta,lineage_failed:low_confidence_barcode_identification
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc1,13998,83,0,0,0,80,0,0,0,836,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc3,9264,41,0,0,0,33,0,0,0,975,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc4,5891,22,0,0,0,22,0,0,0,379,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc5,4169,12,0,0,0,6,0,0,0,140,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc6,4079,10,0,0,0,11,0,0,0,186,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc2,3952,23,0,0,0,18,0,0,0,205,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,fail,3830,63,0,0,0,72,0,0,0,0,1309,1184,1337
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc9,3073,13,0,0,0,11,0,0,0,139,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc8,2850,12,0,0,0,5,0,0,0,495,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc7,2715,14,0,0,0,11,0,0,0,113,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc18,2443,11,0,0,0,6,0,0,0,174,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc11,2020,7,0,0,0,10,0,0,0,273,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc25,1988,10,0,0,0,8,0,0,0,152,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc20,1987,8,0,0,0,8,0,0,0,114,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc10,1700,7,0,0,0,4,0,0,0,98,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc12,1556,8,0,0,0,3,0,0,0,122,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc16,1484,6,0,0,0,6,0,0,0,50,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc15,1262,4,0,0,0,4,0,0,0,69,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc14,1217,7,0,0,0,6,0,0,0,64,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc13,1189,4,0,0,0,7,0,0,0,98,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc27,1167,4,0,0,0,2,0,0,0,66,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc28,1167,3,0,0,0,5,0,0,0,92,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc21,916,3,0,0,0,1,0,0,0,49,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc32,860,5,0,0,0,4,0,0,0,22,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc39,703,5,0,0,0,1,0,0,0,33,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc46,654,5,0,0,0,2,0,0,0,25,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc49,653,1,0,0,0,1,0,0,0,19,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc45,634,2,0,0,0,1,0,0,0,292,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc56,632,1,0,0,0,1,0,0,0,259,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc22,621,3,0,0,0,6,0,0,0,89,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc19,576,1,0,0,0,3,0,0,0,65,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc31,501,3,0,0,0,1,0,0,0,17,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc38,400,3,0,0,0,8,0,0,0,9,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc24,387,0,0,0,0,1,0,0,0,9,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc34,371,1,0,0,0,3,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc35,344,1,0,0,0,1,0,0,0,26,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc43,316,2,0,0,0,0,0,0,0,4,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc42,309,2,0,0,0,1,0,0,0,18,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc33,274,1,0,0,0,2,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc65,254,1,0,0,0,0,0,0,0,16,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc57,252,2,0,0,0,1,0,0,0,45,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc23,243,2,0,0,0,0,0,0,0,18,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc17,224,2,0,0,0,0,0,0,0,8,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc73,217,2,0,0,0,0,0,0,0,63,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc60,212,1,0,0,0,1,0,0,0,12,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc40,209,2,0,0,0,0,0,0,0,9,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc71,177,1,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc97,158,0,0,0,0,0,0,0,0,7,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc55,155,0,0,0,0,0,0,0,0,1,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc47,154,0,0,0,0,1,0,0,0,16,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc52,151,1,0,0,0,0,0,0,0,3,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc63,148,1,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc26,141,2,0,0,0,0,0,0,0,2,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc58,118,0,0,0,0,0,0,0,0,106,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc36,113,1,0,0,0,0,0,0,0,7,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc48,96,0,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc89,96,0,0,0,0,0,0,0,0,9,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc78,80,0,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc30,72,0,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc44,67,0,0,0,0,1,0,0,0,6,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc50,65,0,0,0,0,0,0,0,0,7,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc53,61,0,0,0,0,0,0,0,0,5,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc41,30,0,0,0,0,0,0,0,0,6,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc72,27,0,0,0,0,0,0,0,0,1,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc76,23,1,0,0,0,0,0,0,0,1,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc82,21,0,0,0,0,0,0,0,0,2,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc54,19,0,0,0,0,0,0,0,0,0,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc64,16,0,0,0,0,0,0,0,0,3,0,0,0
TrpB-IE5-P1-P19,P5,85852,bc3,bc1,bc70,14,0,0,0,0,0,0,0,0,0,0,0,0
