tag,barcode_group,total_seqs,total_unique_seqs,total_failed_seqs,total_AA_mutations,unique_AA_mutations,mean_AA_mutations_per_seq,median_AA_mutations_per_seq,total_NT_mutations,unique_NT_mutations,mean_NT_mutations_per_base,mean_NT_mutations_per_seq,median_NT_mutations_per_seq,total_transversions,total_transitions,unique_transversions,unique_transitions,total_insertion_length,total_deletion_length,A->T,A->G,A->C,T->A,T->G,T->C,G->A,G->T,G->C,C->A,C->T,C->G,A->T_unique,A->G_unique,A->C_unique,T->A_unique,T->G_unique,T->C_unique,G->A_unique,G->T_unique,G->C_unique,C->A_unique,C->T_unique,C->G_unique
TrpB-IE5-P1-P19,P1,39112,36557,38443,293431,2962.0,7.502326651667007,7,443533.0,3662.0,0.0088732979,11.34,11,101245.0,342288.0,2384.0,1278.0,1787,5271,11526.0,26174.0,1757.0,21259.0,3560.0,28336.0,175090.0,13422.0,8690.0,35723.0,112688.0,5308.0,330.0,333.0,243.0,299.0,263.0,300.0,343.0,335.0,326.0,300.0,302.0,288.0
TrpB-IE5-P1-P19,P11,35455,33179,21615,413353,2766.0,11.658524890706529,11,735342.0,3510.0,0.016228599,20.74,21,122032.0,613310.0,2232.0,1278.0,1391,9552,11372.0,67031.0,1316.0,32435.0,5432.0,67410.0,269094.0,7960.0,20622.0,29108.0,209775.0,13787.0,320.0,333.0,182.0,295.0,240.0,300.0,343.0,319.0,316.0,291.0,302.0,269.0
TrpB-IE5-P1-P19,P13,33421,31238,20425,407762,2759.0,12.200771969719638,12,747380.0,3494.0,0.0174981114,22.36,22,121949.0,625431.0,2216.0,1278.0,1423,11160,9485.0,65632.0,1172.0,35030.0,5082.0,73991.0,271288.0,7619.0,19753.0,29300.0,214520.0,14508.0,317.0,333.0,192.0,291.0,236.0,300.0,343.0,319.0,317.0,283.0,302.0,261.0
TrpB-IE5-P1-P19,P15,23724,21816,14811,307829,2628.0,12.975425729219356,13,565778.0,3390.0,0.0186606723,23.85,24,89816.0,475962.0,2112.0,1278.0,1173,9228,6787.0,47178.0,873.0,25755.0,3633.0,53789.0,216197.0,6100.0,13781.0,22645.0,158798.0,10242.0,310.0,333.0,162.0,281.0,222.0,300.0,343.0,290.0,310.0,281.0,302.0,256.0
TrpB-IE5-P1-P19,P17,17288,16156,11295,238205,2541.0,13.778632577510413,14,440032.0,3269.0,0.0199162997,25.45,25,68816.0,371216.0,1991.0,1278.0,1093,6970,5017.0,35788.0,669.0,18905.0,2672.0,43247.0,168799.0,5071.0,10702.0,17971.0,123382.0,7809.0,298.0,333.0,153.0,278.0,208.0,300.0,343.0,268.0,295.0,269.0,302.0,222.0
TrpB-IE5-P1-P19,P19,23054,21569,15285,329167,2666.0,14.278086232324108,14,617131.0,3353.0,0.0209459576,26.77,27,97789.0,519342.0,2075.0,1278.0,1310,9476,7368.0,51725.0,1027.0,26280.0,3991.0,59825.0,238965.0,6458.0,16225.0,24898.0,168827.0,11542.0,299.0,333.0,156.0,287.0,212.0,300.0,343.0,289.0,303.0,282.0,302.0,247.0
TrpB-IE5-P1-P19,P3,43905,40874,35415,422309,2731.0,9.618699464753444,9,649645.0,3464.0,0.0115779392,14.8,15,122667.0,526978.0,2186.0,1278.0,2145,8089,11414.0,53198.0,1287.0,21911.0,11958.0,56178.0,237302.0,12656.0,17394.0,30876.0,180300.0,15171.0,316.0,333.0,184.0,291.0,231.0,300.0,343.0,310.0,312.0,293.0,302.0,249.0
TrpB-IE5-P1-P19,P5,46524,43478,39328,483456,2891.0,10.391539850399791,10,757459.0,3555.0,0.0127394662,16.28,16,136175.0,621284.0,2277.0,1278.0,1654,9208,13032.0,59981.0,1419.0,30356.0,9453.0,61689.0,294939.0,11549.0,20065.0,36884.0,204675.0,13417.0,327.0,333.0,199.0,295.0,252.0,300.0,343.0,320.0,318.0,299.0,302.0,267.0
TrpB-IE5-P1-P19,P7,46497,43510,28268,491863,2839.0,10.5783814009506,10,833315.0,3556.0,0.0140234029,17.92,18,141616.0,691699.0,2278.0,1278.0,1707,8658,14891.0,73364.0,1390.0,36810.0,7436.0,67908.0,318627.0,9127.0,20791.0,35941.0,231800.0,15230.0,322.0,333.0,191.0,294.0,257.0,300.0,343.0,325.0,319.0,297.0,302.0,273.0
TrpB-IE5-P1-P19,P9,35135,32888,21450,383934,2757.0,10.927394336132062,11,659352.0,3498.0,0.0146840724,18.77,19,110625.0,548727.0,2220.0,1278.0,1670,7168,10032.0,61022.0,1410.0,28161.0,5373.0,59361.0,242466.0,7616.0,18292.0,26813.0,185878.0,12928.0,315.0,333.0,195.0,289.0,238.0,300.0,343.0,321.0,313.0,289.0,302.0,260.0
TrpB-IE5-P1-P19,pGR438-ctrl,10104,1349,3711,3239,835.0,0.3205661124307205,0,5315.0,1305.0,0.0004116035,0.53,0,1207.0,4108.0,493.0,812.0,357,456,72.0,345.0,27.0,165.0,134.0,603.0,1767.0,122.0,227.0,259.0,1393.0,201.0,43.0,120.0,22.0,71.0,33.0,160.0,295.0,84.0,65.0,123.0,237.0,52.0
TrpB-IE5-P26-P50,P26,65881,60759,37662,1036927,3207.0,15.739393755407477,16,2083179.0,3652.0,0.0247420427,31.62,32,339447.0,1743732.0,2374.0,1278.0,4092,44025,24020.0,171443.0,3014.0,91158.0,15457.0,225567.0,750898.0,19361.0,64486.0,80505.0,595824.0,41446.0,329.0,333.0,229.0,300.0,268.0,300.0,343.0,335.0,327.0,296.0,302.0,290.0
TrpB-IE5-P26-P50,P31,48355,44488,31920,812161,3134.0,16.795801881915004,17,1652667.0,3627.0,0.0267431841,34.18,34,275074.0,1377593.0,2349.0,1278.0,3227,40779,20690.0,128612.0,2991.0,73328.0,13861.0,173228.0,607911.0,19061.0,48698.0,65838.0,467842.0,30607.0,328.0,333.0,223.0,299.0,260.0,300.0,343.0,331.0,326.0,294.0,302.0,288.0
TrpB-IE5-P26-P50,P38,35412,32779,22492,630719,3013.0,17.810883316389923,18,1324349.0,3555.0,0.0292631544,37.4,38,215301.0,1109048.0,2277.0,1278.0,2640,28712,14915.0,101069.0,2047.0,65837.0,8936.0,144207.0,492442.0,14946.0,39924.0,48819.0,371330.0,19877.0,330.0,333.0,203.0,293.0,254.0,300.0,343.0,315.0,326.0,290.0,302.0,266.0
TrpB-IE5-P26-P50,P44,21548,19914,15486,423690,2792.0,19.6626136996473,19,902469.0,3417.0,0.0327713605,41.88,42,145874.0,756595.0,2139.0,1278.0,2982,20059,11512.0,70354.0,1364.0,42047.0,7137.0,94233.0,349145.0,11705.0,23973.0,35170.0,242863.0,12966.0,312.0,333.0,174.0,291.0,229.0,300.0,343.0,301.0,304.0,280.0,302.0,248.0
TrpB-IE5-P26-P50,P50,10531,9751,10693,216616,2489.0,20.569366631848823,20,468179.0,3179.0,0.0347865583,44.46,45,77460.0,390719.0,1902.0,1277.0,2257,10231,7285.0,37690.0,1099.0,20769.0,4427.0,46249.0,180024.0,7041.0,10727.0,19870.0,126756.0,6242.0,277.0,332.0,140.0,280.0,202.0,300.0,343.0,258.0,284.0,263.0,302.0,198.0
TrpB-IE5-P26-P50,pGR438-ctrl,25975,2034,5918,5379,1043.0,0.2070837343599615,0,9314.0,1658.0,0.0002805756,0.36,0,2126.0,7188.0,687.0,971.0,912,1067,115.0,699.0,50.0,231.0,159.0,1063.0,2861.0,221.0,462.0,468.0,2565.0,420.0,70.0,193.0,35.0,85.0,42.0,192.0,314.0,96.0,101.0,176.0,272.0,82.0
