,,barcode_types,
tag,barcodeGroup,fwd,rvs
TPDNAP-DE4-TPDNAP,pGR481ctrl,Barcode4,Barcode1
TPDNAP-DE4-TPDNAP,U14-D1,Barcode10,Barcode1
TPDNAP-DE4-TPDNAP,U14-D10,Barcode10,Barcode28
TPDNAP-DE4-TPDNAP,U14-D11,Barcode10,Barcode31
TPDNAP-DE4-TPDNAP,U14-D12,Barcode10,Barcode34
TPDNAP-DE4-TPDNAP,U14-D2,Barcode10,Barcode4
TPDNAP-DE4-TPDNAP,U14-D3,Barcode10,Barcode7
TPDNAP-DE4-TPDNAP,U14-D4,Barcode10,Barcode10
TPDNAP-DE4-TPDNAP,U14-D5,Barcode10,Barcode13
TPDNAP-DE4-TPDNAP,U14-D6,Barcode10,Barcode16
TPDNAP-DE4-TPDNAP,U14-D7,Barcode10,Barcode19
TPDNAP-DE4-TPDNAP,U14-D8,Barcode10,Barcode22
TPDNAP-DE4-TPDNAP,U14-D9,Barcode10,Barcode25
TPDNAP-DE4-TPDNAP,U14-E10,Barcode13,Barcode28
TPDNAP-DE4-TPDNAP,U14-E11,Barcode13,Barcode31
TPDNAP-DE4-TPDNAP,U14-E12,Barcode13,Barcode34
TPDNAP-DE4-TPDNAP,U14-E2,Barcode13,Barcode4
TPDNAP-DE4-TPDNAP,U14-E3,Barcode13,Barcode7
TPDNAP-DE4-TPDNAP,U14-E4,Barcode13,Barcode10
TPDNAP-DE4-TPDNAP,U14-E5,Barcode13,Barcode13
TPDNAP-DE4-TPDNAP,U14-E6,Barcode13,Barcode16
TPDNAP-DE4-TPDNAP,U14-E7,Barcode13,Barcode19
TPDNAP-DE4-TPDNAP,U14-E8,Barcode13,Barcode22
TPDNAP-DE4-TPDNAP,U14-E9,Barcode13,Barcode25
TPDNAP-DE4-TPDNAP,U15-G1,Barcode19,Barcode1
TPDNAP-DE4-TPDNAP,U15-G10,Barcode19,Barcode28
TPDNAP-DE4-TPDNAP,U15-G11,Barcode19,Barcode31
